lji[  98]:= c429, c443, c43e, c43e, c43e, 0000
lji[  99]:= 49a5, 49a0, c43e, c43e, c43e, 0000
lji[ 100]:= c2d6, c278, c43e, c43e, c43e, 0000
lji[ 101]:= c888, c887, c43e, c43e, c43e, 0000
lji[ 102]:= 4875, 4871, c43e, c43e, c43e, 0000
lji[ 103]:= c6b0, c6b0, c43e, c43e, c43e, 0000
lji[ 104]:= 44e7, 44e5, c43e, c43e, c43e, 0000
lji[ 105]:= ca05, ca14, c43e, c43e, c43e, 0000
lji[ 106]:= c4e7, c4da, c43e, c43e, c43e, 0000
lji[ 107]:= b9f1, b49f, c43e, c43e, c43e, 0000
lji[ 108]:= 47ba, 47ba, c43e, c43e, c43e, 0000
lji[ 109]:= 44e7, 44e1, c43e, c43e, c43e, 0000
lji[ 110]:= c6b0, c62c, c43e, c43e, c43e, 0000
lji[ 111]:= 3ca1, 2220, c43e, c43e, c43e, 0000
lji[ 112]:= c748, c739, c43e, c43e, c43e, 0000
lji[ 113]:= ca05, ca0a, c43e, c43e, c43e, 0000
lji[ 114]:= bd59, bcd3, c43e, c43e, c43e, 0000
lji[ 115]:= 40c1, 395c, c43e, c43e, c43e, 0000
lji[ 116]:= c2d6, c2b4, c43e, c43e, c43e, 0000
lji[ 117]:= 4559, 4580, c43e, c43e, c43e, 0000
lji[ 118]:= c664, c677, c43e, c43e, c43e, 0000
lji[ 119]:= bf22, bf22, c43e, c43e, c43e, 0000
lji[ 120]:= 4075, 3d3c, c43e, c43e, c43e, 0000
lji[ 121]:= 46d6, 4614, c43e, c43e, c43e, 0000
lji[ 122]:= 4a64, 4a62, c43e, c43e, c43e, 0000
lji[ 123]:= 48d4, 48da, c43e, c43e, c43e, 0000
lji[ 124]:= 3722, 3722, c43e, c43e, c43e, 0000
lji[ 125]:= c96c, c9f2, c43e, c43e, c43e, 0000
lji[ 126]:= 3d59, 3108, c43e, c43e, c43e, 0000
lji[ 127]:= c68a, c675, c43e, c43e, c43e, 0000
lji[ 128]:= 3e8a, 4176, c43e, c43e, c43e, 0000
lji[ 129]:= 47ba, 47ba, c43e, c43e, c43e, 0000
lji[ 130]:= 4618, 456a, c43e, c43e, c43e, 0000
lji[ 131]:= 4b0f, 4b36, c43e, c43e, c43e, 0000
