lij[  94]:= b7f1, b89c, 411f, c2af, 42af, c3f7
lij[  95]:= bf6e, bf5f, 45d4, c2af, 42af, c3f7
lij[  96]:= 2c70, b1c4, ba8e, c2af, 42af, c3f7
lij[  97]:= ba6f, c15a, 3b84, c2af, 42af, c3f7
lij[  98]:= bd8c, b877, 35af, c2af, 42af, c3f7
lij[  99]:= 41ce, 4305, 4356, c2af, 42af, c3f7
lij[ 100]:= c4fb, c7a0, 44fb, c2af, 42af, c3f7
lij[ 101]:= c738, c7a0, 4738, c2af, 42af, c3f7
lij[ 102]:= b71d, 3a9e, bce2, c2af, 42af, c3f7
lij[ 103]:= 3b33, b477, af82, c2af, 42af, c3f7
lij[ 104]:= 3bcc, 43e9, 3bd6, c2af, 42af, c3f7
lij[ 105]:= c3e2, 4356, c2f8, c2af, 42af, c3f7
lij[ 106]:= 3e3c, c551, be4f, c2af, 42af, c3f7
lij[ 107]:= 40d5, c4e9, c0fe, c2af, 42af, c3f7
lij[ 108]:= aeb2, b3a9, 3b84, c2af, 42af, c3f7
lij[ 109]:= 318c, c069, b0ca, c2af, 42af, c3f7
lij[ 110]:= bc5a, 3da0, bf77, c2af, 42af, c3f7
lij[ 111]:= 3c3d, bc3d, c7a0, c2af, 42af, c3f7
lij[ 112]:= c212, b97a, 3a13, c2af, 42af, c3f7
lij[ 113]:= 4247, 424e, 46ee, c2af, 42af, c3f7
lij[ 114]:= 44e0, c2de, c360, c2af, 42af, c3f7
lij[ 115]:= bfe9, bfad, 44ba, c2af, 42af, c3f7
lij[ 116]:= be1f, 3e27, c603, c2af, 42af, c3f7
lij[ 117]:= adf1, c279, 2e61, c2af, 42af, c3f7
lij[ 118]:= 41fe, c3dc, c195, c2af, 42af, c3f7
lij[ 119]:= 0000, 0000, 3de6, c2af, 42af, c3f7
lij[ 120]:= 39a1, bf09, bc29, c2af, 42af, c3f7
lij[ 121]:= b51f, c738, 351f, c2af, 42af, c3f7
lij[ 122]:= 355d, 3c78, 396f, c2af, 42af, c3f7
lij[ 123]:= 4465, 456c, 441d, c2af, 42af, c3f7
lij[ 124]:= c63d, c3b5, 439d, c2af, 42af, c3f7
lij[ 125]:= 4545, 4545, 47a0, c2af, 42af, c3f7
lij[ 126]:= c11b, 3ca9, bc16, c2af, 42af, c3f7
lij[ 127]:= c603, c7a0, 4603, c2af, 42af, c3f7
lij[ 128]:= 4738, c738, c7a0, c2af, 42af, c3f7
lij[ 129]:= b255, b265, 4551, c2af, 42af, c3f7
lij[ 130]:= 3d6e, bde9, ba41, c2af, 42af, c3f7
lij[ 131]:= 42c6, 446a, 439d, c2af, 42af, c3f7
lij[ 132]:= 36e7, 444c, 36fc, c2af, 42af, c3f7
lij[ 133]:= 4063, b59a, b708, c2af, 42af, c3f7
lij[ 134]:= bef3, c7a0, 3ef3, c2af, 42af, c3f7
lij[ 135]:= c4c1, 44c1, c7a0, c2af, 42af, c3f7
lij[ 136]:= 3a8e, c7a0, ba8e, c2af, 42af, c3f7
lij[ 137]:= 3e13, c7a0, be13, c2af, 42af, c3f7
lij[ 138]:= bb0f, c04b, 39a7, c2af, 42af, c3f7
lij[ 139]:= 311b, bfb9, afa2, c2af, 42af, c3f7
lij[ 140]:= 40a2, 47a0, 40a2, c2af, 42af, c3f7
lij[ 141]:= 3f1b, c030, c20f, c2af, 42af, c3f7
lij[ 142]:= b9c0, 3c19, bf21, c2af, 42af, c3f7
lij[ 143]:= 4738, c738, c7a0, c2af, 42af, c3f7
lij[ 144]:= 36b5, 443e, 3687, c2af, 42af, c3f7
lij[ 145]:= 38f5, c504, b8e6, c2af, 42af, c3f7
lij[ 146]:= 4738, 45c0, 45d4, c2af, 42af, c3f7
lij[ 147]:= c7a0, 459b, c59b, c2af, 42af, c3f7
lij[ 148]:= 3c7c, 3d2c, 3bcc, c2af, 42af, c3f7
lij[ 149]:= 3ef3, c5c0, bee5, c2af, 42af, c3f7
lij[ 150]:= 3e9b, beb7, c518, c2af, 42af, c3f7
lij[ 151]:= 4329, c4fb, c36b, c2af, 42af, c3f7
lij[ 152]:= 4120, c110, c551, c2af, 42af, c3f7
lij[ 153]:= 42ab, c2ab, c7a0, c2af, 42af, c3f7
lij[ 154]:= b937, b852, 3e5f, c2af, 42af, c3f7
lij[ 155]:= 3d34, 3d84, 4392, c2af, 42af, c3f7
lij[ 156]:= b827, b827, 47a0, c2af, 42af, c3f7
lij[ 157]:= c226, 420c, c5d4, c2af, 42af, c3f7
lij[ 158]:= 3565, 3c58, 34e2, c2af, 42af, c3f7
lij[ 159]:= c429, 4244, c1ac, c2af, 42af, c3f7
lij[ 160]:= 2c30, 3ee1, 2c60, c2af, 42af, c3f7
lij[ 161]:= 3c83, 3c64, 43e2, c2af, 42af, c3f7
lij[ 162]:= ba13, c6b5, 3a13, c2af, 42af, c3f7
lij[ 163]:= ba61, 3ef9, bc05, c2af, 42af, c3f7
lij[ 164]:= 4113, 4206, 42fc, c2af, 42af, c3f7
lij[ 165]:= b732, be85, 35e5, c2af, 42af, c3f7
lij[ 166]:= c42d, 4686, c43e, c2af, 42af, c3f7
lij[ 167]:= 3e41, be4f, c5ad, c2af, 42af, c3f7
lij[ 168]:= 4120, 4132, 45c0, c2af, 42af, c3f7
lij[ 169]:= 4206, 4504, 423e, c2af, 42af, c3f7
lij[ 170]:= b88c, bcad, 3c98, c2af, 42af, c3f7
lij[ 171]:= bee1, bf1d, 4486, c2af, 42af, c3f7
lij[ 172]:= 3e8e, be80, c005, c2af, 42af, c3f7
lij[ 173]:= 3827, b9c0, bf7f, c2af, 42af, c3f7
lij[ 174]:= 4738, c738, c7a0, c2af, 42af, c3f7
lij[ 175]:= be39, 4175, bdda, c2af, 42af, c3f7
lij[ 176]:= 3bfc, c264, bc65, c2af, 42af, c3f7
lij[ 177]:= b412, 3ccc, b7ad, c2af, 42af, c3f7
lij[ 178]:= 3836, b8cb, c18e, c2af, 42af, c3f7
lij[ 179]:= 34fa, b5c4, baaf, c2af, 42af, c3f7
lij[ 180]:= 315b, bffe, b307, c2af, 42af, c3f7
lij[ 181]:= 4738, bc14, bc14, c2af, 42af, c3f7
lij[ 182]:= 4244, 47a0, 4244, c2af, 42af, c3f7
lij[ 183]:= 380e, c456, b827, c2af, 42af, c3f7
lij[ 184]:= c050, 40e2, bfbb, c2af, 42af, c3f7
lij[ 185]:= 3391, 33a9, 44e9, c2af, 42af, c3f7
lij[ 186]:= be48, 3e5e, c4d8, c2af, 42af, c3f7
lij[ 187]:= beb7, c4ba, 3e8d, c2af, 42af, c3f7
lij[ 188]:= 3cdb, bc4e, be8b, c2af, 42af, c3f7
lij[ 189]:= 418e, c0b7, c2d2, c2af, 42af, c3f7
lij[ 190]:= b51f, b51f, 47a0, c2af, 42af, c3f7
lij[ 191]:= bc30, 3c65, c3c8, c2af, 42af, c3f7
lij[ 192]:= 41ac, 41ac, 47a0, c2af, 42af, c3f7
lij[ 193]:= ba5d, bab6, 4360, c2af, 42af, c3f7
lij[ 194]:= 3a38, 461e, 3a3c, c2af, 42af, c3f7
lij[ 195]:= 3bae, 38fc, 3c54, c2af, 42af, c3f7
lij[ 196]:= c56c, c56c, 45ad, c2af, 42af, c3f7
lij[ 197]:= c539, c5ad, 4603, c2af, 42af, c3f7
lij[ 198]:= 40fc, bd9a, be0c, c2af, 42af, c3f7
lij[ 199]:= bdc0, 3dc0, c738, c2af, 42af, c3f7
lij[ 200]:= 400f, 3644, 3606, c2af, 42af, c3f7
lij[ 201]:= 38a4, 38a4, 47a0, c2af, 42af, c3f7
lij[ 202]:= b07a, 4325, b03a, c2af, 42af, c3f7
lij[ 203]:= 43f0, c0a0, c108, c2af, 42af, c3f7
lij[ 204]:= bdda, c0cb, 3fbf, c2af, 42af, c3f7
lij[ 205]:= 3bc2, 41c7, 3c60, c2af, 42af, c3f7
lij[ 206]:= b494, 38f3, b467, c2af, 42af, c3f7
lij[ 207]:= b4c9, 8000, 0000, c2af, 42af, c3f7
lij[ 208]:= bed4, c084, 4113, c2af, 42af, c3f7
lij[ 209]:= be58, 42b6, be6a, c2af, 42af, c3f7
lij[ 210]:= 3c11, 34b5, 3092, c2af, 42af, c3f7
lij[ 211]:= c1fb, 41f8, c5c0, c2af, 42af, c3f7
lij[ 212]:= c05b, 4066, c3dc, c2af, 42af, c3f7
lij[ 213]:= 47a0, c7a0, c7a0, c2af, 42af, c3f7
lij[ 214]:= b947, 3d45, bcf5, c2af, 42af, c3f7
lij[ 215]:= c58b, 458b, c7a0, c2af, 42af, c3f7
lij[ 216]:= beb7, 3e9d, c52d, c2af, 42af, c3f7
lij[ 217]:= c56c, c518, 461e, c2af, 42af, c3f7
lij[ 218]:= 413b, 4545, 411d, c2af, 42af, c3f7
lij[ 219]:= 3f8a, 3fab, 452d, c2af, 42af, c3f7
lij[ 220]:= 3f48, 417a, 40a2, c2af, 42af, c3f7
lij[ 221]:= 4419, c545, c46f, c2af, 42af, c3f7
lij[ 222]:= b981, 44c1, b998, c2af, 42af, c3f7
lij[ 223]:= 450e, c56c, c603, c2af, 42af, c3f7
lij[ 224]:= 3e71, 3f6a, 41e0, c2af, 42af, c3f7
lij[ 225]:= 3ee5, 43c8, 3f5b, c2af, 42af, c3f7
lij[ 226]:= 3d3c, 3de4, 3ed2, c2af, 42af, c3f7
lij[ 227]:= c064, b981, 3b07, c2af, 42af, c3f7
lij[ 228]:= 46ee, c58b, c56c, c2af, 42af, c3f7
lij[ 229]:= bcf5, 3cf5, c7a0, c2af, 42af, c3f7
lij[ 230]:= c0f1, 4738, c0f3, c2af, 42af, c3f7
lij[ 231]:= 31c4, 3ce2, 327e, c2af, 42af, c3f7
lij[ 232]:= b592, b5c0, 4411, c2af, 42af, c3f7
lij[ 233]:= bf0d, 37a4, b7d7, c2af, 42af, c3f7
