lji[  85]:= 40c1, 40c1, 4c37, 4c2b, 4c40, 4d21
lji[  86]:= c475, c475, 4c37, 4c2b, 4c40, 4d21
lji[  87]:= c8ae, c8ae, 4c37, 4c2b, 4c40, 4d21
lji[  88]:= c1a5, c1a5, 4c37, 4c2b, 4c40, 4d21
lji[  89]:= c4c1, c4c1, 4c37, 4c2b, 4c40, 4d21
lji[  90]:= 468a, 468a, 4c37, 4c2b, 4c40, 4d21
lji[  91]:= 3b22, 3b22, 4c37, 4c2b, 4c40, 4d21
lji[  92]:= c44f, c44f, 4c37, 4c2b, 4c40, 4d21
lji[  93]:= b8c1, b8c1, 4c37, 4c2b, 4c40, 4d21
lji[  94]:= 4920, 4920, 4c37, 4c2b, 4c40, 4d21
lji[  95]:= 497f, 497f, 4c37, 4c2b, 4c40, 4d21
lji[  96]:= 4992, 4992, 4c37, 4c2b, 4c40, 4d21
lji[  97]:= c44f, c44f, 4c37, 4c2b, 4c40, 4d21
lji[  98]:= c429, c429, 4c37, 4c2b, 4c40, 4d21
lji[  99]:= 49a5, 49a5, 4c37, 4c2b, 4c40, 4d21
lji[ 100]:= c2d6, c2d6, 4c37, 4c2b, 4c40, 4d21
lji[ 101]:= c888, c888, 4c37, 4c2b, 4c40, 4d21
lji[ 102]:= 4875, 4875, 4c37, 4c2b, 4c40, 4d21
lji[ 103]:= c6b0, c6b0, 4c37, 4c2b, 4c40, 4d21
lji[ 104]:= 44e7, 44e7, 4c37, 4c2b, 4c40, 4d21
lji[ 105]:= ca05, ca05, 4c37, 4c2b, 4c40, 4d21
lji[ 106]:= c4e7, c4e7, 4c37, 4c2b, 4c40, 4d21
lji[ 107]:= b9f1, b9f1, 4c37, 4c2b, 4c40, 4d21
lji[ 108]:= 47ba, 47ba, 4c37, 4c2b, 4c40, 4d21
lji[ 109]:= 44e7, 44e7, 4c37, 4c2b, 4c40, 4d21
lji[ 110]:= c6b0, c6b0, 4c37, 4c2b, 4c40, 4d21
lji[ 111]:= 34c1, 34c1, 4c37, 4c2b, 4c40, 4d21
lji[ 112]:= c748, c748, 4c37, 4c2b, 4c40, 4d21
lji[ 113]:= ca05, ca05, 4c37, 4c2b, 4c40, 4d21
lji[ 114]:= bd59, bd59, 4c37, 4c2b, 4c40, 4d21
lji[ 115]:= 40c1, 40c1, 4c37, 4c2b, 4c40, 4d21
lji[ 116]:= c2d6, c2d6, 4c37, 4c2b, 4c40, 4d21
lji[ 117]:= 4559, 4559, 4c37, 4c2b, 4c40, 4d21
lji[ 118]:= c664, c664, 4c37, 4c2b, 4c40, 4d21
lji[ 119]:= bf22, bf22, 4c37, 4c2b, 4c40, 4d21
lji[ 120]:= 4075, 4075, 4c37, 4c2b, 4c40, 4d21
lji[ 121]:= 46d6, 46d6, 4c37, 4c2b, 4c40, 4d21
lji[ 122]:= 4a64, 4a64, 4c37, 4c2b, 4c40, 4d21
lji[ 123]:= 48d4, 48d4, 4c37, 4c2b, 4c40, 4d21
lji[ 124]:= 3722, 3722, 4c37, 4c2b, 4c40, 4d21
lji[ 125]:= c96c, c96c, 4c37, 4c2b, 4c40, 4d21
lji[ 126]:= 3d59, 3d59, 4c37, 4c2b, 4c40, 4d21
lji[ 127]:= c68a, c68a, 4c37, 4c2b, 4c40, 4d21
lji[ 128]:= 3e8a, 3e8a, 4c37, 4c2b, 4c40, 4d21
lji[ 129]:= 47ba, 47ba, 4c37, 4c2b, 4c40, 4d21
lji[ 130]:= 4618, 4618, 4c37, 4c2b, 4c40, 4d21
lji[ 131]:= 4b0f, 4b0f, 4c37, 4c2b, 4c40, 4d21
lji[ 132]:= b0c1, b0c1, 4c37, 4c2b, 4c40, 4d21
lji[ 133]:= 4029, 4029, 4c37, 4c2b, 4c40, 4d21
