lij[  96]:= 4064, 4113, 42d2, 4141, c141, c3f7
lij[  97]:= 3708, c7a0, b708, 4141, c141, c3f7
lij[  98]:= c3cf, b875, 38a4, 4141, c141, c3f7
lij[  99]:= 3af9, bcb7, c01e, 4141, c141, c3f7
lij[ 100]:= c504, c7a0, 4504, 4141, c141, c3f7
lij[ 101]:= 38cb, c7a0, b8cb, 4141, c141, c3f7
lij[ 102]:= be73, 3e5c, c4d8, 4141, c141, c3f7
lij[ 103]:= bab6, b477, 2f12, 4141, c141, c3f7
lij[ 104]:= 3e4e, 4291, 3eb4, 4141, c141, c3f7
lij[ 105]:= ba07, 4166, ba74, 4141, c141, c3f7
lij[ 106]:= 3947, c738, b947, 4141, c141, c3f7
lij[ 107]:= c2ef, c31b, 45c0, 4141, c141, c3f7
lij[ 108]:= 38f3, c2fc, b947, 4141, c141, c3f7
lij[ 109]:= c7a0, c0c1, 40c1, 4141, c141, c3f7
lij[ 110]:= 4486, 428a, 431b, 4141, c141, c3f7
lij[ 111]:= b75d, 375d, c7a0, 4141, c141, c3f7
lij[ 112]:= 4465, 39ec, 3a13, 4141, c141, c3f7
lij[ 113]:= c38c, c38c, 47a0, 4141, c141, c3f7
lij[ 114]:= 47a0, c360, c360, 4141, c141, c3f7
lij[ 115]:= c3a9, c300, 44ba, 4141, c141, c3f7
lij[ 116]:= 4156, c15a, c6b5, 4141, c141, c3f7
lij[ 117]:= b6ac, c333, 3708, 4141, c141, c3f7
lij[ 118]:= 450e, c3b5, c41d, 4141, c141, c3f7
lij[ 119]:= c518, 465f, c50e, 4141, c141, c3f7
lij[ 120]:= c3c8, c48c, 4492, 4141, c141, c3f7
lij[ 121]:= 417e, c180, c6b5, 4141, c141, c3f7
lij[ 122]:= 36ac, 459b, 36b5, 4141, c141, c3f7
lij[ 123]:= bd45, 456c, bd38, 4141, c141, c3f7
lij[ 124]:= 41f3, c3bc, c147, 4141, c141, c3f7
lij[ 125]:= 406b, 4686, 4070, 4141, c141, c3f7
lij[ 126]:= 3dcf, 3c83, 39dc, 4141, c141, c3f7
lij[ 127]:= c603, c738, 461e, 4141, c141, c3f7
lij[ 128]:= 461e, c61e, c7a0, 4141, c141, c3f7
lij[ 129]:= b97d, ba3c, 41a7, 4141, c141, c3f7
lij[ 130]:= b827, bde9, 352b, 4141, c141, c3f7
lij[ 131]:= 2e61, 2e61, 47a0, 4141, c141, c3f7
lij[ 132]:= 3381, 3d61, 3659, 4141, c141, c3f7
lij[ 133]:= 3cb5, b360, b708, 4141, c141, c3f7
lij[ 134]:= c65f, c686, 4738, 4141, c141, c3f7
lij[ 135]:= c3d5, 458b, c41d, 4141, c141, c3f7
lij[ 136]:= c61e, c61e, 47a0, 4141, c141, c3f7
lij[ 137]:= 38a4, c028, ba13, 4141, c141, c3f7
lij[ 138]:= 4738, c070, c06e, 4141, c141, c3f7
lij[ 139]:= 3d4a, be07, bc7e, 4141, c141, c3f7
lij[ 140]:= 3ef3, 47a0, 3ef3, 4141, c141, c3f7
lij[ 141]:= c028, 4162, c1aa, 4141, c141, c3f7
lij[ 142]:= 34c9, c26b, b50f, 4141, c141, c3f7
lij[ 143]:= 45eb, c5eb, c7a0, 4141, c141, c3f7
lij[ 144]:= 2ba1, 43f7, 2b81, 4141, c141, c3f7
lij[ 145]:= 3d6e, c504, bd59, 4141, c141, c3f7
lij[ 146]:= 43a3, 44e0, 43d5, 4141, c141, c3f7
lij[ 147]:= c7a0, 459b, c59b, 4141, c141, c3f7
lij[ 148]:= c1a0, 3df3, bf1d, 4141, c141, c3f7
lij[ 149]:= 41db, c4ac, c203, 4141, c141, c3f7
lij[ 150]:= c113, 411b, c61e, 4141, c141, c3f7
lij[ 151]:= 47a0, c63d, c63d, 4141, c141, c3f7
lij[ 152]:= c50e, 449e, c58b, 4141, c141, c3f7
lij[ 153]:= 461e, c61e, c7a0, 4141, c141, c3f7
lij[ 154]:= c3cf, bf74, 3f61, 4141, c141, c3f7
lij[ 155]:= 434c, 4460, 4447, 4141, c141, c3f7
lij[ 156]:= 3c52, 3cdf, 4206, 4141, c141, c3f7
lij[ 157]:= 31c4, b1bc, c5c0, 4141, c141, c3f7
lij[ 158]:= bcf5, be78, 3a33, 4141, c141, c3f7
lij[ 159]:= c4d0, 4244, c1f3, 4141, c141, c3f7
lij[ 160]:= 0000, 0000, 2440, 4141, c141, c3f7
lij[ 161]:= c03b, c075, 4241, 4141, c141, c3f7
lij[ 162]:= 465f, c63d, c65f, 4141, c141, c3f7
lij[ 163]:= bfa9, c283, 3ec8, 4141, c141, c3f7
lij[ 164]:= c197, 47a0, c197, 4141, c141, c3f7
lij[ 165]:= c2de, bef3, 3f9e, 4141, c141, c3f7
lij[ 166]:= 3b07, 47a0, 3b07, 4141, c141, c3f7
lij[ 167]:= 40a3, c36b, c132, 4141, c141, c3f7
lij[ 168]:= 4522, 47a0, 4522, 4141, c141, c3f7
lij[ 169]:= ace1, 2e61, bffc, 4141, c141, c3f7
lij[ 170]:= 4518, 44a5, 458b, 4141, c141, c3f7
lij[ 171]:= c5d4, c5d4, 47a0, 4141, c141, c3f7
lij[ 172]:= c5ad, 4147, c158, 4141, c141, c3f7
lij[ 173]:= b765, bd31, 3ab6, 4141, c141, c3f7
lij[ 174]:= c56c, c603, 4603, 4141, c141, c3f7
lij[ 175]:= bd06, 3c85, c235, 4141, c141, c3f7
lij[ 176]:= 3e2e, bf97, c16f, 4141, c141, c3f7
lij[ 177]:= b477, c7a0, 3477, 4141, c141, c3f7
lij[ 178]:= 44f2, 4686, 4518, 4141, c141, c3f7
lij[ 179]:= 33a9, b12b, be87, 4141, c141, c3f7
lij[ 180]:= 43f0, c402, c6b5, 4141, c141, c3f7
lij[ 181]:= 47a0, bc14, bc14, 4141, c141, c3f7
lij[ 182]:= 3b33, 47a0, 3b33, 4141, c141, c3f7
lij[ 183]:= 3fd4, c738, bfd2, 4141, c141, c3f7
lij[ 184]:= c07a, 41ac, bf3b, 4141, c141, c3f7
lij[ 185]:= b665, b6b9, 4381, 4141, c141, c3f7
lij[ 186]:= 32c6, 3307, 43dc, 4141, c141, c3f7
lij[ 187]:= 30a2, 373b, 3931, 4141, c141, c3f7
lij[ 188]:= 46b5, 4032, 402f, 4141, c141, c3f7
lij[ 189]:= be3c, 3db0, c2d2, 4141, c141, c3f7
lij[ 190]:= 2500, 2500, 4415, 4141, c141, c3f7
lij[ 191]:= be32, 45d4, be3c, 4141, c141, c3f7
lij[ 192]:= c603, c603, 47a0, 4141, c141, c3f7
lij[ 193]:= 318c, 31c4, 43dc, 4141, c141, c3f7
lij[ 194]:= 3a13, 3b5a, 40e9, 4141, c141, c3f7
lij[ 195]:= 4023, 3cce, 3c34, 4141, c141, c3f7
lij[ 196]:= c7a0, c63d, 463d, 4141, c141, c3f7
lij[ 197]:= c0ce, c39d, 415a, 4141, c141, c3f7
lij[ 198]:= 3dd5, bb2e, be8e, 4141, c141, c3f7
lij[ 199]:= 3a48, bbae, c0d6, 4141, c141, c3f7
lij[ 200]:= 401e, 3708, 3569, 4141, c141, c3f7
lij[ 201]:= 4251, 42ca, 44ac, 4141, c141, c3f7
lij[ 202]:= 3cdf, 4325, 3c8d, 4141, c141, c3f7
lij[ 203]:= 45eb, c101, c103, 4141, c141, c3f7
lij[ 204]:= 4325, 45c0, 4356, 4141, c141, c3f7
lij[ 205]:= c603, c5c0, 455e, 4141, c141, c3f7
lij[ 206]:= c1de, 3cb9, bc48, 4141, c141, c3f7
lij[ 207]:= be65, 8000, 0000, 4141, c141, c3f7
lij[ 208]:= be39, c686, 3e3c, 4141, c141, c3f7
lij[ 209]:= 3f42, 3eed, 4419, 4141, c141, c3f7
lij[ 210]:= 3416, 28e0, 34b9, 4141, c141, c3f7
lij[ 211]:= b55d, 44ac, b56d, 4141, c141, c3f7
lij[ 212]:= c603, 449e, c49e, 4141, c141, c3f7
lij[ 213]:= 47a0, c7a0, c7a0, 4141, c141, c3f7
lij[ 214]:= 396f, 4338, 39c0, 4141, c141, c3f7
lij[ 215]:= c59b, 45ad, c738, 4141, c141, c3f7
lij[ 216]:= 423b, c203, c52d, 4141, c141, c3f7
lij[ 217]:= 3e27, 3e21, 461e, 4141, c141, c3f7
lij[ 218]:= c429, 4539, c3d5, 4141, c141, c3f7
lij[ 219]:= 3a6f, 3a8e, 44b3, 4141, c141, c3f7
lij[ 220]:= 43af, 43af, 47a0, 4141, c141, c3f7
lij[ 221]:= 3e78, c7a0, be78, 4141, c141, c3f7
lij[ 222]:= be11, 4082, c045, 4141, c141, c3f7
lij[ 223]:= 456c, c7a0, c56c, 4141, c141, c3f7
lij[ 224]:= 3d75, 4443, 3d8a, 4141, c141, c3f7
lij[ 225]:= 3b03, 3b07, 4603, 4141, c141, c3f7
lij[ 226]:= c57b, c139, 414b, 4141, c141, c3f7
lij[ 227]:= 4040, 3b03, 396b, 4141, c141, c3f7
lij[ 228]:= 46ee, c58b, c56c, 4141, c141, c3f7
lij[ 229]:= 43bc, c3bc, c7a0, 4141, c141, c3f7
lij[ 230]:= 311b, 47a0, 311b, 4141, c141, c3f7
lij[ 231]:= 3942, 402d, 3812, 4141, c141, c3f7
lij[ 232]:= c132, c7a0, 4132, 4141, c141, c3f7
lij[ 233]:= 3fe0, 3836, 379c, 4141, c141, c3f7
lij[ 234]:= bc3b, c4e9, 3c2e, 4141, c141, c3f7
lij[ 235]:= c272, c1ce, 40d8, 4141, c141, c3f7
lij[ 236]:= 4197, c0c1, bf86, 4141, c141, c3f7
lij[ 237]:= c4f2, c2ba, 4325, 4141, c141, c3f7
lij[ 238]:= 4686, 465f, 461e, 4141, c141, c3f7
lij[ 239]:= c7a0, c7a0, 47a0, 4141, c141, c3f7
lij[ 240]:= 452d, 452d, 47a0, 4141, c141, c3f7
lij[ 241]:= 4551, 463d, 450e, 4141, c141, c3f7
lij[ 242]:= c738, c7a0, 4738, 4141, c141, c3f7
lij[ 243]:= 35c0, 465f, 35c0, 4141, c141, c3f7
lij[ 244]:= c3a9, 4498, c2ef, 4141, c141, c3f7
lij[ 245]:= 3cb7, be78, b9ee, 4141, c141, c3f7
lij[ 246]:= 3758, 375d, 46ee, 4141, c141, c3f7
