lji[  97]:= c452, c430, c76e, c5d9, c826, c25c
lji[  98]:= c39b, c304, c76e, c5d9, c826, c25c
lji[  99]:= 4998, 4910, c76e, c5d9, c826, c25c
lji[ 100]:= 4084, 4100, c76e, c5d9, c826, c25c
lji[ 101]:= c992, c8c2, c76e, c5d9, c826, c25c
lji[ 102]:= 47cc, 48d8, c76e, c5d9, c826, c25c
lji[ 103]:= c5a4, c84a, c76e, c5d9, c826, c25c
lji[ 104]:= 44f0, 44fd, c76e, c5d9, c826, c25c
lji[ 105]:= c849, c977, c76e, c5d9, c826, c25c
lji[ 106]:= c1ec, c992, c76e, c5d9, c826, c25c
lji[ 107]:= b4ef, 3853, c76e, c5d9, c826, c25c
lji[ 108]:= 47ea, 4908, c76e, c5d9, c826, c25c
lji[ 109]:= 4797, 3ae8, c76e, c5d9, c826, c25c
lji[ 110]:= c811, c55f, c76e, c5d9, c826, c25c
lji[ 111]:= b6cd, 3ebd, c76e, c5d9, c826, c25c
lji[ 112]:= c944, c910, c76e, c5d9, c826, c25c
lji[ 113]:= cbcb, c960, c76e, c5d9, c826, c25c
lji[ 114]:= c066, 3d25, c76e, c5d9, c826, c25c
lji[ 115]:= 44bc, c123, c76e, c5d9, c826, c25c
lji[ 116]:= c297, c3d3, c76e, c5d9, c826, c25c
lji[ 117]:= 4442, 44a7, c76e, c5d9, c826, c25c
lji[ 118]:= c7bc, c396, c76e, c5d9, c826, c25c
lji[ 119]:= 3bd0, c2de, c76e, c5d9, c826, c25c
lji[ 120]:= b4d8, 3f29, c76e, c5d9, c826, c25c
lji[ 121]:= 45ca, 4648, c76e, c5d9, c826, c25c
lji[ 122]:= 4ade, 4936, c76e, c5d9, c826, c25c
lji[ 123]:= 4aba, 462a, c76e, c5d9, c826, c25c
lji[ 124]:= 3208, 363e, c76e, c5d9, c826, c25c
lji[ 125]:= cb3f, ca44, c76e, c5d9, c826, c25c
lji[ 126]:= 3db0, 46a7, c76e, c5d9, c826, c25c
lji[ 127]:= c600, c84f, c76e, c5d9, c826, c25c
lji[ 128]:= 3e5c, 40f6, c76e, c5d9, c826, c25c
lji[ 129]:= 478b, 487b, c76e, c5d9, c826, c25c
lji[ 130]:= 4861, 489c, c76e, c5d9, c826, c25c
lji[ 131]:= 4bdf, 4a34, c76e, c5d9, c826, c25c
lji[ 132]:= bd01, b9db, c76e, c5d9, c826, c25c
lji[ 133]:= 40de, 3740, c76e, c5d9, c826, c25c
lji[ 134]:= c7ad, c416, c76e, c5d9, c826, c25c
lji[ 135]:= 4968, 462f, c76e, c5d9, c826, c25c
lji[ 136]:= 4a52, 4a6d, c76e, c5d9, c826, c25c
lji[ 137]:= 4a6c, 49c6, c76e, c5d9, c826, c25c
lji[ 138]:= c7de, c5c7, c76e, c5d9, c826, c25c
lji[ 139]:= 41b8, 4357, c76e, c5d9, c826, c25c
lji[ 140]:= c076, c100, c76e, c5d9, c826, c25c
lji[ 141]:= 412b, bc98, c76e, c5d9, c826, c25c
lji[ 142]:= 411f, 44dc, c76e, c5d9, c826, c25c
lji[ 143]:= 4ca5, 4a75, c76e, c5d9, c826, c25c
lji[ 144]:= c330, 443c, c76e, c5d9, c826, c25c
lji[ 145]:= c916, c99c, c76e, c5d9, c826, c25c
lji[ 146]:= 4636, 48f9, c76e, c5d9, c826, c25c
lji[ 147]:= 49de, 448e, c76e, c5d9, c826, c25c
lji[ 148]:= c79d, c4f2, c76e, c5d9, c826, c25c
lji[ 149]:= c0e4, bf05, c76e, c5d9, c826, c25c
lji[ 150]:= 3cb8, 3987, c76e, c5d9, c826, c25c
lji[ 151]:= 414a, 41dc, c76e, c5d9, c826, c25c
lji[ 152]:= c302, c270, c76e, c5d9, c826, c25c
lji[ 153]:= c55e, be34, c76e, c5d9, c826, c25c
lji[ 154]:= 45fc, 40d5, c76e, c5d9, c826, c25c
lji[ 155]:= 4542, 45ed, c76e, c5d9, c826, c25c
lji[ 156]:= 4c7e, 4b04, c76e, c5d9, c826, c25c
lji[ 157]:= c3a9, c6c0, c76e, c5d9, c826, c25c
lji[ 158]:= 448c, 44c0, c76e, c5d9, c826, c25c
lji[ 159]:= 4825, 4915, c76e, c5d9, c826, c25c
lji[ 160]:= 4a5b, 4968, c76e, c5d9, c826, c25c
lji[ 161]:= c4e4, 3fd3, c76e, c5d9, c826, c25c
lji[ 162]:= 49f7, 4aaf, c76e, c5d9, c826, c25c
lji[ 163]:= c52d, b630, c76e, c5d9, c826, c25c
lji[ 164]:= 4951, 48f8, c76e, c5d9, c826, c25c
lji[ 165]:= 4836, 48d1, c76e, c5d9, c826, c25c
lji[ 166]:= 4892, 454e, c76e, c5d9, c826, c25c
lji[ 167]:= 4a7c, 4871, c76e, c5d9, c826, c25c
lji[ 168]:= 49f4, 4b32, c76e, c5d9, c826, c25c
lji[ 169]:= c0de, c452, c76e, c5d9, c826, c25c
lji[ 170]:= 4509, 4b4b, c76e, c5d9, c826, c25c
lji[ 171]:= 4864, 4971, c76e, c5d9, c826, c25c
lji[ 172]:= c063, c3d4, c76e, c5d9, c826, c25c
lji[ 173]:= c77a, c560, c76e, c5d9, c826, c25c
lji[ 174]:= c0ac, c892, c76e, c5d9, c826, c25c
lji[ 175]:= b180, 3f60, c76e, c5d9, c826, c25c
lji[ 176]:= 4208, c041, c76e, c5d9, c826, c25c
lji[ 177]:= c2fa, c1c1, c76e, c5d9, c826, c25c
lji[ 178]:= c852, 3660, c76e, c5d9, c826, c25c
