lij[  96]:= 2080, 2500, 3bff, c43e, 443e, c43e
lij[  97]:= 2ba1, bfbf, ad21, c43e, 443e, c43e
lij[  98]:= 2c80, b554, a860, c43e, 443e, c43e
lij[  99]:= 0000, 41bf, 0000, c43e, 443e, c43e
lij[ 100]:= 4115, c5c0, c126, c43e, 443e, c43e
lij[ 101]:= c320, c4c1, 43cf, c43e, 443e, c43e
lij[ 102]:= 2800, 2ba1, 3c90, c43e, 443e, c43e
lij[ 103]:= 3b50, b473, afa2, c43e, 443e, c43e
lij[ 104]:= 3e89, 435b, 3eb4, c43e, 443e, c43e
lij[ 105]:= c189, 4132, c360, c43e, 443e, c43e
lij[ 106]:= 36f8, c52d, b708, c43e, 443e, c43e
lij[ 107]:= b5a7, bd1d, 391f, c43e, 443e, c43e
lij[ 108]:= 38b3, 3bd6, 3de9, c43e, 443e, c43e
lij[ 109]:= b06a, c098, 2f72, c43e, 443e, c43e
lij[ 110]:= b12b, b340, 3e0c, c43e, 443e, c43e
lij[ 111]:= ae31, c43e, 2e61, c43e, 443e, c43e
lij[ 112]:= 2d11, 2780, 3a07, c43e, 443e, c43e
lij[ 113]:= 3c1f, 3c51, 43dc, c43e, 443e, c43e
lij[ 114]:= 341a, c009, b4de, c43e, 443e, c43e
lij[ 115]:= bcc6, bffc, 3e9f, c43e, 443e, c43e
lij[ 116]:= b72e, 3ae1, bcdf, c43e, 443e, c43e
lij[ 117]:= 3bb8, 3e75, 3e75, c43e, 443e, c43e
lij[ 118]:= 2f42, b8cb, b5e5, c43e, 443e, c43e
lij[ 119]:= abc1, b07a, 3b5a, c43e, 443e, c43e
lij[ 120]:= b81d, c518, 3827, c43e, 443e, c43e
lij[ 121]:= b845, ba64, 3eb7, c43e, 443e, c43e
lij[ 122]:= 2df1, 2fb2, 401c, c43e, 443e, c43e
lij[ 123]:= b971, 39b5, c2fc, c43e, 443e, c43e
lij[ 124]:= b4de, c223, 34ea, c43e, 443e, c43e
lij[ 125]:= 33c2, 3426, 42b6, c43e, 443e, c43e
lij[ 126]:= 3b3a, 3bb6, 3879, c43e, 443e, c43e
lij[ 127]:= bbf2, c0cb, 3cf5, c43e, 443e, c43e
lij[ 128]:= 307a, b07a, c65f, c43e, 443e, c43e
lij[ 129]:= b1a4, b4c9, 3d6d, c43e, 443e, c43e
lij[ 130]:= a8c0, b8cb, 2a80, c43e, 443e, c43e
lij[ 131]:= b1fc, b3a9, 4032, c43e, 443e, c43e
lij[ 132]:= ab40, aba1, 42da, c43e, 443e, c43e
lij[ 133]:= 3b55, b4b9, b46f, c43e, 443e, c43e
lij[ 134]:= b85b, bbd6, 3d5b, c43e, 443e, c43e
lij[ 135]:= bdb0, 3de9, c43e, c43e, 443e, c43e
lij[ 136]:= 391b, c0c1, ba3c, c43e, 443e, c43e
lij[ 137]:= 32df, c014, b477, c43e, 443e, c43e
lij[ 138]:= 3c1c, bb0c, bf8e, c43e, 443e, c43e
lij[ 139]:= c14f, bef9, 3ed6, c43e, 443e, c43e
lij[ 140]:= 3d05, 3e78, 40c1, c43e, 443e, c43e
lij[ 141]:= 8000, 0000, bef3, c43e, 443e, c43e
lij[ 142]:= 310b, 3a4f, 36a0, c43e, 443e, c43e
lij[ 143]:= 8000, c279, 0000, c43e, 443e, c43e
lij[ 144]:= 3c88, 3c69, 4425, c43e, 443e, c43e
lij[ 145]:= bcbb, c19e, 3d59, c43e, 443e, c43e
lij[ 146]:= 405e, 40a0, 43e2, c43e, 443e, c43e
lij[ 147]:= c435, 44c1, c456, c43e, 443e, c43e
lij[ 148]:= 38e4, 3803, 3daf, c43e, 443e, c43e
lij[ 149]:= bd67, c166, 3e6e, c43e, 443e, c43e
lij[ 150]:= 3534, b6b5, c026, c43e, 443e, c43e
lij[ 151]:= b9aa, 3a89, c15a, c43e, 443e, c43e
lij[ 152]:= b6a8, 36ac, c4c1, c43e, 443e, c43e
lij[ 153]:= bc0f, 3fab, bde9, c43e, 443e, c43e
lij[ 154]:= 3ed8, bceb, bef9, c43e, 443e, c43e
lij[ 155]:= 37fd, 38a4, 4145, c43e, 443e, c43e
lij[ 156]:= bea1, c164, 4028, c43e, 443e, c43e
lij[ 157]:= 3da8, be1d, c2d6, c43e, 443e, c43e
lij[ 158]:= 2800, b123, b18c, c43e, 443e, c43e
lij[ 159]:= b2cf, 3eeb, b41a, c43e, 443e, c43e
lij[ 160]:= b623, c09a, 356d, c43e, 443e, c43e
lij[ 161]:= 3e71, 3e30, 4411, c43e, 443e, c43e
lij[ 162]:= 3dc7, be75, c264, c43e, 443e, c43e
lij[ 163]:= 3db0, 3f59, 3f59, c43e, 443e, c43e
lij[ 164]:= 3827, bc79, bc65, c43e, 443e, c43e
lij[ 165]:= c1bd, be9d, 3f65, c43e, 443e, c43e
lij[ 166]:= b8cb, 42f3, b91f, c43e, 443e, c43e
lij[ 167]:= 3bb1, c356, bc14, c43e, 443e, c43e
lij[ 168]:= 3a87, 3bff, 40d6, c43e, 443e, c43e
lij[ 169]:= 39de, 3d07, 3de7, c43e, 443e, c43e
lij[ 170]:= b651, beb9, 389c, c43e, 443e, c43e
lij[ 171]:= 9c00, 36b9, a500, c43e, 443e, c43e
lij[ 172]:= b123, 391b, b665, c43e, 443e, c43e
lij[ 173]:= 2f92, 3879, 3708, c43e, 443e, c43e
lij[ 174]:= bc65, bfd4, 3e65, c43e, 443e, c43e
lij[ 175]:= bcd5, bdfb, 3f35, c43e, 443e, c43e
lij[ 176]:= 306a, beca, b265, c43e, 443e, c43e
lij[ 177]:= 3912, 39c0, 41a2, c43e, 443e, c43e
lij[ 178]:= b31f, 428a, b3a9, c43e, 443e, c43e
lij[ 179]:= b554, baef, 35fa, c43e, 443e, c43e
lij[ 180]:= acb1, 3477, b852, c43e, 443e, c43e
lij[ 181]:= 3255, bc07, ae01, c43e, 443e, c43e
lij[ 182]:= b92c, 41fe, b9c0, c43e, 443e, c43e
lij[ 183]:= 3b4b, bcf5, c01c, c43e, 443e, c43e
lij[ 184]:= acc1, 38f1, b245, c43e, 443e, c43e
lij[ 185]:= 3d4e, 3de9, 426f, c43e, 443e, c43e
lij[ 186]:= b93e, 4235, b9bc, c43e, 443e, c43e
lij[ 187]:= 390d, c43a, b907, c43e, 443e, c43e
lij[ 188]:= 0000, 8000, bbe6, c43e, 443e, c43e
lij[ 189]:= 4431, c226, c2ba, c43e, 443e, c43e
lij[ 190]:= c122, c28a, 4279, c43e, 443e, c43e
lij[ 191]:= b7a9, bbff, 3c79, c43e, 443e, c43e
lij[ 192]:= 3b03, 3bd6, 4206, c43e, 443e, c43e
lij[ 193]:= 8000, 8000, 37ad, c43e, 443e, c43e
lij[ 194]:= 3fad, 42ba, 4059, c43e, 443e, c43e
lij[ 195]:= bdf3, bc89, 3afe, c43e, 443e, c43e
lij[ 196]:= bf31, c02d, 422c, c43e, 443e, c43e
lij[ 197]:= 369c, b7ad, c13b, c43e, 443e, c43e
lij[ 198]:= 8000, 8000, 3052, c43e, 443e, c43e
lij[ 199]:= 3c58, bcb7, c2be, c43e, 443e, c43e
lij[ 200]:= ac20, 31a4, a860, c43e, 443e, c43e
lij[ 201]:= 2a80, 2d21, 3de9, c43e, 443e, c43e
lij[ 202]:= 329e, 41a7, 32a6, c43e, 443e, c43e
lij[ 203]:= 3fb0, c09d, be53, c43e, 443e, c43e
lij[ 204]:= 39bc, 3a8e, 4197, c43e, 443e, c43e
lij[ 205]:= b30f, b3a1, 423b, c43e, 443e, c43e
lij[ 206]:= 0000, b602, 8000, c43e, 443e, c43e
lij[ 207]:= 34ea, 0000, 0000, c43e, 443e, c43e
lij[ 208]:= 8000, 0000, b708, c43e, 443e, c43e
lij[ 209]:= 394b, 402d, 3a7e, c43e, 443e, c43e
lij[ 210]:= 3dd4, 324d, 3488, c43e, 443e, c43e
lij[ 211]:= 3b6e, c254, bc10, c43e, 443e, c43e
lij[ 212]:= b1c4, 3d79, b4b9, c43e, 443e, c43e
lij[ 213]:= 3d38, c009, bfbf, c43e, 443e, c43e
lij[ 214]:= 3cd5, c032, beca, c43e, 443e, c43e
lij[ 215]:= 3b25, bb33, c59b, c43e, 443e, c43e
lij[ 216]:= bc8c, 3f8a, beb0, c43e, 443e, c43e
lij[ 217]:= 2780, ae61, b8c7, c43e, 443e, c43e
lij[ 218]:= 3ecc, 3ec6, 44ba, c43e, 443e, c43e
lij[ 219]:= a860, 39c0, ae61, c43e, 443e, c43e
lij[ 220]:= b4a0, 4108, b56d, c43e, 443e, c43e
lij[ 221]:= b328, c2be, 33a9, c43e, 443e, c43e
lij[ 222]:= 0000, 443a, 0000, c43e, 443e, c43e
lij[ 223]:= 4251, c447, c312, c43e, 443e, c43e
lij[ 224]:= 38d9, 3dee, 3beb, c43e, 443e, c43e
lij[ 225]:= aa40, 3dc0, ad21, c43e, 443e, c43e
lij[ 226]:= 2e51, bf33, aeb2, c43e, 443e, c43e
lij[ 227]:= 8000, bace, 0000, c43e, 443e, c43e
lij[ 228]:= bdaf, bf09, 4110, c43e, 443e, c43e
lij[ 229]:= 3e78, bedf, c3cf, c43e, 443e, c43e
lij[ 230]:= bc81, 446f, bca2, c43e, 443e, c43e
lij[ 231]:= b8b3, bc9a, 3998, c43e, 443e, c43e
lij[ 232]:= af22, 311b, bedf, c43e, 443e, c43e
lij[ 233]:= c425, 388f, b893, c43e, 443e, c43e
lij[ 234]:= a6c0, af92, 36f3, c43e, 443e, c43e
lij[ 235]:= b859, c01a, 3897, c43e, 443e, c43e
lij[ 236]:= bde2, c0b7, 3ca3, c43e, 443e, c43e
lij[ 237]:= ae41, be63, 303a, c43e, 443e, c43e
lij[ 238]:= 3df1, 42af, 3e8b, c43e, 443e, c43e
lij[ 239]:= 3f6e, bf6e, c738, c43e, 443e, c43e
lij[ 240]:= 3d62, 3d6e, 457b, c43e, 443e, c43e
lij[ 241]:= 42fc, 445b, 43b5, c43e, 443e, c43e
lij[ 242]:= b0da, bc29, 351f, c43e, 443e, c43e
lij[ 243]:= 3e4a, 433d, 3ec6, c43e, 443e, c43e
lij[ 244]:= 3aaf, bf21, bcc2, c43e, 443e, c43e
lij[ 245]:= be22, be22, 3bb8, c43e, 443e, c43e
lij[ 246]:= ae21, b827, 3612, c43e, 443e, c43e
lij[ 247]:= 3b07, c05f, b9fc, c43e, 443e, c43e
lij[ 248]:= b328, bb38, 3803, c43e, 443e, c43e
lij[ 249]:= 3dba, c1c9, beb7, c43e, 443e, c43e
lij[ 250]:= 326e, 31f4, 3cff, c43e, 443e, c43e
lij[ 251]:= c283, c460, 4342, c43e, 443e, c43e
lij[ 252]:= ab40, b5c0, 351f, c43e, 443e, c43e
lij[ 253]:= 0000, 8000, bbac, c43e, 443e, c43e
lij[ 254]:= bc2a, 42de, bc74, c43e, 443e, c43e
lij[ 255]:= 399c, bda8, bcf2, c43e, 443e, c43e
lij[ 256]:= 2ea2, 3f25, 3052, c43e, 443e, c43e
lij[ 257]:= 32ff, b9d5, b092, c43e, 443e, c43e
lij[ 258]:= 38cb, bde9, bbff, c43e, 443e, c43e
lij[ 259]:= afc2, bc79, 33a9, c43e, 443e, c43e
lij[ 260]:= 2a20, bf21, aae0, c43e, 443e, c43e
lij[ 261]:= 3d31, c08f, be37, c43e, 443e, c43e
lij[ 262]:= 3b2e, 428a, 3bd6, c43e, 443e, c43e
lij[ 263]:= 35c0, b8a4, bde9, c43e, 443e, c43e
lij[ 264]:= c09b, 44e0, c0c1, c43e, 443e, c43e
lij[ 265]:= 4004, c545, c012, c43e, 443e, c43e
lij[ 266]:= ba00, bc15, 39ce, c43e, 443e, c43e
lij[ 267]:= c279, 44e0, c2de, c43e, 443e, c43e
lij[ 268]:= 3de7, 42d2, 3e75, c43e, 443e, c43e
lij[ 269]:= 0000, 2ba1, 0000, c43e, 443e, c43e
lij[ 270]:= b1bc, a8c0, 2bc1, c43e, 443e, c43e
lij[ 271]:= ba74, baf9, 4247, c43e, 443e, c43e
lij[ 272]:= bc87, 458b, bc8c, c43e, 443e, c43e
lij[ 273]:= 3b33, 3c0a, 41b1, c43e, 443e, c43e
lij[ 274]:= 3d47, bef3, c0ac, c43e, 443e, c43e
lij[ 275]:= c44c, c4c1, 4539, c43e, 443e, c43e
lij[ 276]:= 396b, c2f8, b9bc, c43e, 443e, c43e
lij[ 277]:= c041, 41c2, c173, c43e, 443e, c43e
lij[ 278]:= b559, 4053, b6a8, c43e, 443e, c43e
lij[ 279]:= 3807, 3db5, 3a4f, c43e, 443e, c43e
lij[ 280]:= b092, 395d, b648, c43e, 443e, c43e
lij[ 281]:= b697, b879, 3fab, c43e, 443e, c43e
lij[ 282]:= 8000, 0000, bf81, c43e, 443e, c43e
lij[ 283]:= 3897, 4012, 3726, c43e, 443e, c43e
lij[ 284]:= b07a, afa2, 3e35, c43e, 443e, c43e
lij[ 285]:= b5b7, b879, 3e27, c43e, 443e, c43e
lij[ 286]:= b286, 40f1, b3a9, c43e, 443e, c43e
lij[ 287]:= 3fe4, c57b, bffe, c43e, 443e, c43e
lij[ 288]:= 430e, 4254, 41e3, c43e, 443e, c43e
lij[ 289]:= be6a, 44ba, be5f, c43e, 443e, c43e
lij[ 290]:= be6c, c4f2, 3e66, c43e, 443e, c43e
lij[ 291]:= 3c75, 3e27, 4032, c43e, 443e, c43e
lij[ 292]:= 38c7, bce1, bc38, c43e, 443e, c43e
lij[ 293]:= bcb1, ba9a, 3dbf, c43e, 443e, c43e
lij[ 294]:= c235, c376, 4268, c43e, 443e, c43e
lij[ 295]:= 2f52, 2dc1, 3f1f, c43e, 443e, c43e
lij[ 296]:= afa2, 3426, bbff, c43e, 443e, c43e
lij[ 297]:= b66a, b9e9, 3d09, c43e, 443e, c43e
lij[ 298]:= 361b, b868, be9f, c43e, 443e, c43e
lij[ 299]:= 35b3, c108, b6b9, c43e, 443e, c43e
lij[ 300]:= b957, b97a, 3422, c43e, 443e, c43e
lij[ 301]:= 3868, c460, b870, c43e, 443e, c43e
lij[ 302]:= 0000, 8000, bf05, c43e, 443e, c43e
lij[ 303]:= be40, c325, 3eca, c43e, 443e, c43e
lij[ 304]:= bdfb, c164, 3e51, c43e, 443e, c43e
lij[ 305]:= b8f1, c145, 39c0, c43e, 443e, c43e
lij[ 306]:= 8000, 8000, 428a, c43e, 443e, c43e
lij[ 307]:= 3d3b, 4329, 3d92, c43e, 443e, c43e
lij[ 308]:= 3436, c2ef, b477, c43e, 443e, c43e
lij[ 309]:= 3072, a900, b897, c43e, 443e, c43e
lij[ 310]:= 3612, 36b9, 41fe, c43e, 443e, c43e
lij[ 311]:= ba25, be65, 3cf5, c43e, 443e, c43e
lij[ 312]:= 3912, 4217, 3998, c43e, 443e, c43e
lij[ 313]:= 3bc2, 3c89, 3bc2, c43e, 443e, c43e
lij[ 314]:= b964, b9ce, 41eb, c43e, 443e, c43e
lij[ 315]:= 4206, 4160, 42f8, c43e, 443e, c43e
lij[ 316]:= 0000, 351f, 0000, c43e, 443e, c43e
lij[ 317]:= bbe8, 3c14, c44c, c43e, 443e, c43e
lij[ 318]:= b683, b693, 414b, c43e, 443e, c43e
lij[ 319]:= 3be1, c4fb, bbff, c43e, 443e, c43e
lij[ 320]:= 3bb3, 306a, 2c10, c43e, 443e, c43e
lij[ 321]:= 8000, b8af, 0000, c43e, 443e, c43e
