lji[  94]:= 490b, 4907, c7ac, c62c, c817, c1cd
lji[  95]:= 4b50, 4a2f, c7ac, c62c, c817, c1cd
lji[  96]:= 4978, 49ed, c7ac, c62c, c817, c1cd
lji[  97]:= c41d, c492, c7ac, c62c, c817, c1cd
lji[  98]:= c3b1, c5a9, c7ac, c62c, c817, c1cd
lji[  99]:= 49f6, 494a, c7ac, c62c, c817, c1cd
lji[ 100]:= 3830, c447, c7ac, c62c, c817, c1cd
lji[ 101]:= ca34, c858, c7ac, c62c, c817, c1cd
lji[ 102]:= 479c, 486b, c7ac, c62c, c817, c1cd
lji[ 103]:= c6d8, c6bd, c7ac, c62c, c817, c1cd
lji[ 104]:= 4571, 4541, c7ac, c62c, c817, c1cd
lji[ 105]:= c8f4, c96d, c7ac, c62c, c817, c1cd
lji[ 106]:= c620, c6a5, c7ac, c62c, c817, c1cd
lji[ 107]:= 3c4e, b6ec, c7ac, c62c, c817, c1cd
lji[ 108]:= 477e, 4842, c7ac, c62c, c817, c1cd
lji[ 109]:= 456f, 4693, c7ac, c62c, c817, c1cd
lji[ 110]:= c0d2, c7a0, c7ac, c62c, c817, c1cd
lji[ 111]:= c005, b9be, c7ac, c62c, c817, c1cd
lji[ 112]:= c9fe, c6f8, c7ac, c62c, c817, c1cd
lji[ 113]:= cbf9, cbbf, c7ac, c62c, c817, c1cd
lji[ 114]:= bea9, b914, c7ac, c62c, c817, c1cd
lji[ 115]:= 4368, c097, c7ac, c62c, c817, c1cd
lji[ 116]:= c3fc, c4d3, c7ac, c62c, c817, c1cd
lji[ 117]:= 4466, 4756, c7ac, c62c, c817, c1cd
lji[ 118]:= c6fa, c39c, c7ac, c62c, c817, c1cd
lji[ 119]:= c1af, bf22, c7ac, c62c, c817, c1cd
lji[ 120]:= 3d88, 4086, c7ac, c62c, c817, c1cd
lji[ 121]:= 45bf, 4759, c7ac, c62c, c817, c1cd
lji[ 122]:= 499b, 49f0, c7ac, c62c, c817, c1cd
lji[ 123]:= 484c, 4870, c7ac, c62c, c817, c1cd
lji[ 124]:= 4065, 4460, c7ac, c62c, c817, c1cd
lji[ 125]:= caad, ca38, c7ac, c62c, c817, c1cd
lji[ 126]:= 3b50, 3de3, c7ac, c62c, c817, c1cd
lji[ 127]:= c6cb, c6fc, c7ac, c62c, c817, c1cd
lji[ 128]:= 3e75, 4351, c7ac, c62c, c817, c1cd
lji[ 129]:= 47d0, 47bf, c7ac, c62c, c817, c1cd
