lij[  91]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  92]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  93]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  94]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  95]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  96]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  97]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[  98]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[  99]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 100]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 101]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 102]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 103]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 104]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 105]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 106]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 107]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 108]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 109]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 110]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 111]:= 0000, 47a0, 0000, 41b8, 46b5, 41b8
lij[ 112]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 113]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 114]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 115]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 116]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 117]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 118]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 119]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 120]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 121]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 122]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 123]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 124]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 125]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 126]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 127]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 128]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 129]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 130]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 131]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 132]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 133]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 134]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 135]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 136]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
lij[ 137]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 138]:= 0000, 0000, 0000, 41b8, 46b5, 41b8
lij[ 139]:= 0000, 8000, 8000, 41b8, 46b5, 41b8
