lji[ 104]:= 4222, 44df, b340, b320, bb40, 4415
lji[ 105]:= c888, cace, b340, b320, bb40, 4415
lji[ 106]:= c39c, c54e, b340, b320, bb40, 4415
lji[ 107]:= 4002, c06c, b340, b320, bb40, 4415
lji[ 108]:= 47b3, 485c, b340, b320, bb40, 4415
lji[ 109]:= 45d4, 44e9, b340, b320, bb40, 4415
lji[ 110]:= c55e, c938, b340, b320, bb40, 4415
lji[ 111]:= ba5a, bf60, b340, b320, bb40, 4415
lji[ 112]:= c6b0, c748, b340, b320, bb40, 4415
lji[ 113]:= cbea, cc38, b340, b320, bb40, 4415
lji[ 114]:= be7f, bb3c, b340, b320, bb40, 4415
lji[ 115]:= 44b2, b538, b340, b320, bb40, 4415
lji[ 116]:= c19e, c4b1, b340, b320, bb40, 4415
lji[ 117]:= 4548, 472c, b340, b320, bb40, 4415
lji[ 118]:= c6b4, c202, b340, b320, bb40, 4415
lji[ 119]:= bed1, bf3c, b340, b320, bb40, 4415
lji[ 120]:= 425e, 3ffc, b340, b320, bb40, 4415
lji[ 121]:= 4618, 46fa, b340, b320, bb40, 4415
lji[ 122]:= 4a3d, 4a2c, b340, b320, bb40, 4415
lji[ 123]:= 4696, 4815, b340, b320, bb40, 4415
lji[ 124]:= 400b, 3fdc, b340, b320, bb40, 4415
lji[ 125]:= c8fe, ca66, b340, b320, bb40, 4415
lji[ 126]:= bd1d, 3d8f, b340, b320, bb40, 4415
lji[ 127]:= c630, c6e6, b340, b320, bb40, 4415
lji[ 128]:= 3e7e, 4310, b340, b320, bb40, 4415
lji[ 129]:= 47d8, 47ba, b340, b320, bb40, 4415
lji[ 130]:= 46fe, 44f5, b340, b320, bb40, 4415
lji[ 131]:= 4b51, 49ee, b340, b320, bb40, 4415
lji[ 132]:= b837, bb39, b340, b320, bb40, 4415
lji[ 133]:= 42ee, 400d, b340, b320, bb40, 4415
lji[ 134]:= c855, c787, b340, b320, bb40, 4415
lji[ 135]:= 484e, 454f, b340, b320, bb40, 4415
lji[ 136]:= 4be4, 4ab0, b340, b320, bb40, 4415
lji[ 137]:= 4a83, 4992, b340, b320, bb40, 4415
lji[ 138]:= c6c9, c5ce, b340, b320, bb40, 4415
lji[ 139]:= 47b8, 441c, b340, b320, bb40, 4415
lji[ 140]:= c4af, c116, b340, b320, bb40, 4415
lji[ 141]:= b1c1, c115, b340, b320, bb40, 4415
lji[ 142]:= 4024, 3fef, b340, b320, bb40, 4415
lji[ 143]:= 4ac2, 49ee, b340, b320, bb40, 4415
lji[ 144]:= c4ac, bec2, b340, b320, bb40, 4415
lji[ 145]:= ca60, c941, b340, b320, bb40, 4415
lji[ 146]:= 489c, 48d9, b340, b320, bb40, 4415
lji[ 147]:= 4a02, 44ec, b340, b320, bb40, 4415
lji[ 148]:= c438, c55a, b340, b320, bb40, 4415
lji[ 149]:= c72e, c418, b340, b320, bb40, 4415
lji[ 150]:= 3d8e, 38a4, b340, b320, bb40, 4415
lji[ 151]:= 4387, 4160, b340, b320, bb40, 4415
lji[ 152]:= c375, c524, b340, b320, bb40, 4415
lji[ 153]:= bc9f, bfb9, b340, b320, bb40, 4415
lji[ 154]:= 4711, 45a6, b340, b320, bb40, 4415
lji[ 155]:= 4746, 45dc, b340, b320, bb40, 4415
lji[ 156]:= 4c3d, 4a96, b340, b320, bb40, 4415
lji[ 157]:= c5ea, c566, b340, b320, bb40, 4415
lji[ 158]:= 3f58, 404c, b340, b320, bb40, 4415
lji[ 159]:= 4839, 445c, b340, b320, bb40, 4415
lji[ 160]:= 49b4, 4c94, b340, b320, bb40, 4415
lji[ 161]:= c49a, 3e50, b340, b320, bb40, 4415
lji[ 162]:= 4b6b, 4919, b340, b320, bb40, 4415
lji[ 163]:= c09c, c198, b340, b320, bb40, 4415
lji[ 164]:= 4908, 49c7, b340, b320, bb40, 4415
lji[ 165]:= 483d, 488d, b340, b320, bb40, 4415
lji[ 166]:= 4899, 4377, b340, b320, bb40, 4415
lji[ 167]:= 48b6, 4952, b340, b320, bb40, 4415
lji[ 168]:= 4aff, 4aa9, b340, b320, bb40, 4415
lji[ 169]:= c44b, b350, b340, b320, bb40, 4415
lji[ 170]:= 475e, 4998, b340, b320, bb40, 4415
lji[ 171]:= 48a9, 4870, b340, b320, bb40, 4415
lji[ 172]:= c548, c482, b340, b320, bb40, 4415
lji[ 173]:= c814, c7b4, b340, b320, bb40, 4415
lji[ 174]:= c82e, c7a3, b340, b320, bb40, 4415
lji[ 175]:= 38e6, 40ed, b340, b320, bb40, 4415
lji[ 176]:= 408f, 40b1, b340, b320, bb40, 4415
lji[ 177]:= c053, bfe7, b340, b320, bb40, 4415
lji[ 178]:= c32b, c5c0, b340, b320, bb40, 4415
lji[ 179]:= 456b, 4455, b340, b320, bb40, 4415
lji[ 180]:= c75e, c7bd, b340, b320, bb40, 4415
lji[ 181]:= 4641, 45b1, b340, b320, bb40, 4415
lji[ 182]:= 4983, 49bc, b340, b320, bb40, 4415
lji[ 183]:= c911, c808, b340, b320, bb40, 4415
lji[ 184]:= 4632, 4819, b340, b320, bb40, 4415
lji[ 185]:= ba06, c439, b340, b320, bb40, 4415
lji[ 186]:= c33f, bd26, b340, b320, bb40, 4415
lji[ 187]:= 4a02, 46ac, b340, b320, bb40, 4415
lji[ 188]:= 492b, 4980, b340, b320, bb40, 4415
lji[ 189]:= 424b, 469c, b340, b320, bb40, 4415
lji[ 190]:= 46cf, 464d, b340, b320, bb40, 4415
lji[ 191]:= 4639, 47de, b340, b320, bb40, 4415
lji[ 192]:= c45c, 3b4c, b340, b320, bb40, 4415
lji[ 193]:= bc2c, b5b4, b340, b320, bb40, 4415
lji[ 194]:= c382, c579, b340, b320, bb40, 4415
lji[ 195]:= 4466, 4711, b340, b320, bb40, 4415
lji[ 196]:= 4cb0, 4c23, b340, b320, bb40, 4415
lji[ 197]:= 445b, 44da, b340, b320, bb40, 4415
lji[ 198]:= c985, ca13, b340, b320, bb40, 4415
lji[ 199]:= c0fa, c112, b340, b320, bb40, 4415
lji[ 200]:= 4c31, 4a33, b340, b320, bb40, 4415
lji[ 201]:= 3a8c, 3c6f, b340, b320, bb40, 4415
lji[ 202]:= c94d, c9db, b340, b320, bb40, 4415
lji[ 203]:= 4910, 4528, b340, b320, bb40, 4415
lji[ 204]:= bcab, 39cf, b340, b320, bb40, 4415
lji[ 205]:= c8ba, c95a, b340, b320, bb40, 4415
lji[ 206]:= 3f2c, 4260, b340, b320, bb40, 4415
lji[ 207]:= c324, c036, b340, b320, bb40, 4415
lji[ 208]:= 3ab0, 377a, b340, b320, bb40, 4415
lji[ 209]:= cbe1, cbe0, b340, b320, bb40, 4415
lji[ 210]:= cd29, cd07, b340, b320, bb40, 4415
lji[ 211]:= 48ee, 4a08, b340, b320, bb40, 4415
lji[ 212]:= 493c, 4919, b340, b320, bb40, 4415
lji[ 213]:= c88c, c8ad, b340, b320, bb40, 4415
lji[ 214]:= 46dc, 447d, b340, b320, bb40, 4415
lji[ 215]:= b8d2, be3d, b340, b320, bb40, 4415
lji[ 216]:= 476b, 4686, b340, b320, bb40, 4415
lji[ 217]:= c664, c667, b340, b320, bb40, 4415
lji[ 218]:= ca25, c9c2, b340, b320, bb40, 4415
lji[ 219]:= 4a0e, 49fa, b340, b320, bb40, 4415
lji[ 220]:= 4998, 4bba, b340, b320, bb40, 4415
lji[ 221]:= c856, c866, b340, b320, bb40, 4415
lji[ 222]:= 4959, 4c07, b340, b320, bb40, 4415
lji[ 223]:= cc72, c9b7, b340, b320, bb40, 4415
lji[ 224]:= 3956, 4436, b340, b320, bb40, 4415
lji[ 225]:= 4413, 4504, b340, b320, bb40, 4415
lji[ 226]:= c896, c929, b340, b320, bb40, 4415
lji[ 227]:= 3e62, 451e, b340, b320, bb40, 4415
lji[ 228]:= 4454, 3f10, b340, b320, bb40, 4415
lji[ 229]:= 489e, 4711, b340, b320, bb40, 4415
lji[ 230]:= c55a, c5ff, b340, b320, bb40, 4415
lji[ 231]:= cadc, caaf, b340, b320, bb40, 4415
lji[ 232]:= 464e, 48c7, b340, b320, bb40, 4415
lji[ 233]:= 38d8, 4578, b340, b320, bb40, 4415
lji[ 234]:= c037, bdf3, b340, b320, bb40, 4415
lji[ 235]:= 44f1, 444f, b340, b320, bb40, 4415
lji[ 236]:= 4a1c, 4ad9, b340, b320, bb40, 4415
lji[ 237]:= 492d, 48b2, b340, b320, bb40, 4415
lji[ 238]:= 4b4a, 4af4, b340, b320, bb40, 4415
lji[ 239]:= 4485, 461a, b340, b320, bb40, 4415
lji[ 240]:= b88c, bc1a, b340, b320, bb40, 4415
lji[ 241]:= cb31, ca7f, b340, b320, bb40, 4415
lji[ 242]:= c421, bc54, b340, b320, bb40, 4415
lji[ 243]:= 4962, 478b, b340, b320, bb40, 4415
lji[ 244]:= c5ce, c5f2, b340, b320, bb40, 4415
lji[ 245]:= 44b2, 4476, b340, b320, bb40, 4415
lji[ 246]:= 481b, 4608, b340, b320, bb40, 4415
lji[ 247]:= 4412, 44aa, b340, b320, bb40, 4415
lji[ 248]:= 366a, b414, b340, b320, bb40, 4415
lji[ 249]:= c8a6, cb2a, b340, b320, bb40, 4415
lji[ 250]:= bb80, 35fd, b340, b320, bb40, 4415
lji[ 251]:= c3fe, c275, b340, b320, bb40, 4415
lji[ 252]:= bf84, b722, b340, b320, bb40, 4415
lji[ 253]:= 49cd, 49bc, b340, b320, bb40, 4415
lji[ 254]:= 46c1, 483c, b340, b320, bb40, 4415
lji[ 255]:= c1f8, c4ff, b340, b320, bb40, 4415
lji[ 256]:= 48b6, 48e1, b340, b320, bb40, 4415
lji[ 257]:= c6f3, c87d, b340, b320, bb40, 4415
lji[ 258]:= c847, c61a, b340, b320, bb40, 4415
lji[ 259]:= c883, c825, b340, b320, bb40, 4415
lji[ 260]:= 4892, 492a, b340, b320, bb40, 4415
lji[ 261]:= c774, c738, b340, b320, bb40, 4415
lji[ 262]:= caa6, c8de, b340, b320, bb40, 4415
lji[ 263]:= 3f60, 3e64, b340, b320, bb40, 4415
lji[ 264]:= 47fd, 4522, b340, b320, bb40, 4415
lji[ 265]:= cc64, c9c4, b340, b320, bb40, 4415
lji[ 266]:= cc4c, cc6b, b340, b320, bb40, 4415
lji[ 267]:= 4874, 4394, b340, b320, bb40, 4415
lji[ 268]:= 4a18, 483b, b340, b320, bb40, 4415
lji[ 269]:= 3fb8, 3bbe, b340, b320, bb40, 4415
lji[ 270]:= 49ca, 496d, b340, b320, bb40, 4415
lji[ 271]:= c886, c7ec, b340, b320, bb40, 4415
lji[ 272]:= 4934, 4780, b340, b320, bb40, 4415
lji[ 273]:= c3a8, b448, b340, b320, bb40, 4415
lji[ 274]:= c56a, c42e, b340, b320, bb40, 4415
lji[ 275]:= 4b08, 4996, b340, b320, bb40, 4415
lji[ 276]:= 4b90, 4bc8, b340, b320, bb40, 4415
lji[ 277]:= 4830, 46c1, b340, b320, bb40, 4415
lji[ 278]:= 4638, 47fa, b340, b320, bb40, 4415
lji[ 279]:= 4310, a5c0, b340, b320, bb40, 4415
lji[ 280]:= 488e, 48da, b340, b320, bb40, 4415
lji[ 281]:= c427, c38d, b340, b320, bb40, 4415
lji[ 282]:= a9c0, c054, b340, b320, bb40, 4415
lji[ 283]:= 4b06, 4a7a, b340, b320, bb40, 4415
lji[ 284]:= 3dd7, 411a, b340, b320, bb40, 4415
lji[ 285]:= 449e, 4611, b340, b320, bb40, 4415
lji[ 286]:= bf1e, beea, b340, b320, bb40, 4415
lji[ 287]:= 487d, 4519, b340, b320, bb40, 4415
lji[ 288]:= 4517, 44d6, b340, b320, bb40, 4415
lji[ 289]:= c4bc, c8cb, b340, b320, bb40, 4415
lji[ 290]:= c85d, c7ea, b340, b320, bb40, 4415
lji[ 291]:= 49bf, 4a51, b340, b320, bb40, 4415
lji[ 292]:= 4b15, 4bce, b340, b320, bb40, 4415
lji[ 293]:= c26c, c15c, b340, b320, bb40, 4415
lji[ 294]:= 4ab3, 4889, b340, b320, bb40, 4415
lji[ 295]:= c317, bc26, b340, b320, bb40, 4415
lji[ 296]:= 46a0, 46d0, b340, b320, bb40, 4415
lji[ 297]:= ca2e, c9c9, b340, b320, bb40, 4415
lji[ 298]:= c556, c53c, b340, b320, bb40, 4415
lji[ 299]:= 480a, 47d2, b340, b320, bb40, 4415
lji[ 300]:= 48c0, 481c, b340, b320, bb40, 4415
lji[ 301]:= 46eb, 4746, b340, b320, bb40, 4415
lji[ 302]:= 3249, beb8, b340, b320, bb40, 4415
lji[ 303]:= c535, c7a2, b340, b320, bb40, 4415
lji[ 304]:= 46fc, 4485, b340, b320, bb40, 4415
lji[ 305]:= c486, c53b, b340, b320, bb40, 4415
lji[ 306]:= c003, be40, b340, b320, bb40, 4415
lji[ 307]:= 450d, 43e5, b340, b320, bb40, 4415
lji[ 308]:= c418, c46d, b340, b320, bb40, 4415
lji[ 309]:= c8c9, c741, b340, b320, bb40, 4415
lji[ 310]:= c86b, c83a, b340, b320, bb40, 4415
lji[ 311]:= c6d4, c68a, b340, b320, bb40, 4415
lji[ 312]:= 48e8, 487b, b340, b320, bb40, 4415
lji[ 313]:= cab5, ca00, b340, b320, bb40, 4415
lji[ 314]:= c0b7, c064, b340, b320, bb40, 4415
lji[ 315]:= 4d18, 4c50, b340, b320, bb40, 4415
lji[ 316]:= bf41, bfdf, b340, b320, bb40, 4415
lji[ 317]:= 41f6, bce5, b340, b320, bb40, 4415
lji[ 318]:= 4402, 4585, b340, b320, bb40, 4415
lji[ 319]:= c398, c82b, b340, b320, bb40, 4415
lji[ 320]:= 45b7, 44cf, b340, b320, bb40, 4415
lji[ 321]:= 3818, bdd4, b340, b320, bb40, 4415
lji[ 322]:= 3d36, 4474, b340, b320, bb40, 4415
lji[ 323]:= 4867, 47e9, b340, b320, bb40, 4415
lji[ 324]:= 456a, 450f, b340, b320, bb40, 4415
lji[ 325]:= c939, c8c1, b340, b320, bb40, 4415
lji[ 326]:= 48a6, 48e5, b340, b320, bb40, 4415
lji[ 327]:= c664, c4c4, b340, b320, bb40, 4415
lji[ 328]:= 4a6b, 4a03, b340, b320, bb40, 4415
lji[ 329]:= b68e, 4092, b340, b320, bb40, 4415
lji[ 330]:= c99e, c8cb, b340, b320, bb40, 4415
lji[ 331]:= c0d6, c437, b340, b320, bb40, 4415
lji[ 332]:= 441b, 45a7, b340, b320, bb40, 4415
lji[ 333]:= 46d9, 46fe, b340, b320, bb40, 4415
lji[ 334]:= 47a5, 4839, b340, b320, bb40, 4415
lji[ 335]:= 42ba, 4271, b340, b320, bb40, 4415
lji[ 336]:= 45c9, 45d1, b340, b320, bb40, 4415
lji[ 337]:= c88c, c3be, b340, b320, bb40, 4415
lji[ 338]:= c92c, c696, b340, b320, bb40, 4415
lji[ 339]:= 4536, 46c4, b340, b320, bb40, 4415
lji[ 340]:= c505, c1aa, b340, b320, bb40, 4415
lji[ 341]:= 4a68, 49aa, b340, b320, bb40, 4415
lji[ 342]:= 4676, 445a, b340, b320, bb40, 4415
lji[ 343]:= c7a0, c6a2, b340, b320, bb40, 4415
lji[ 344]:= 40f6, bbc4, b340, b320, bb40, 4415
lji[ 345]:= 4504, 43b1, b340, b320, bb40, 4415
lji[ 346]:= c491, c26c, b340, b320, bb40, 4415
lji[ 347]:= 450e, 4635, b340, b320, bb40, 4415
lji[ 348]:= be6b, bdc9, b340, b320, bb40, 4415
lji[ 349]:= c2e6, b5cd, b340, b320, bb40, 4415
lji[ 350]:= 4008, 399a, b340, b320, bb40, 4415
lji[ 351]:= 461d, 43f7, b340, b320, bb40, 4415
lji[ 352]:= 4896, 48c6, b340, b320, bb40, 4415
lji[ 353]:= b7d2, bc00, b340, b320, bb40, 4415
lji[ 354]:= be4c, 3dd1, b340, b320, bb40, 4415
lji[ 355]:= 447c, 45dd, b340, b320, bb40, 4415
lji[ 356]:= 48f1, 4953, b340, b320, bb40, 4415
lji[ 357]:= 3d56, 40cf, b340, b320, bb40, 4415
lji[ 358]:= c465, c451, b340, b320, bb40, 4415
lji[ 359]:= c2c8, c2eb, b340, b320, bb40, 4415
lji[ 360]:= 3e97, 3e87, b340, b320, bb40, 4415
lji[ 361]:= c92d, c973, b340, b320, bb40, 4415
lji[ 362]:= c0fc, c0cf, b340, b320, bb40, 4415
lji[ 363]:= c349, bf57, b340, b320, bb40, 4415
lji[ 364]:= 4351, 3561, b340, b320, bb40, 4415
lji[ 365]:= 4a5b, 4a93, b340, b320, bb40, 4415
lji[ 366]:= cca0, ccb7, b340, b320, bb40, 4415
lji[ 367]:= 4b43, 4b37, b340, b320, bb40, 4415
lji[ 368]:= 45c0, 45aa, b340, b320, bb40, 4415
lji[ 369]:= bf8a, bd5f, b340, b320, bb40, 4415
lji[ 370]:= cae0, c96d, b340, b320, bb40, 4415
lji[ 371]:= 435c, 4179, b340, b320, bb40, 4415
lji[ 372]:= 486c, 4487, b340, b320, bb40, 4415
lji[ 373]:= c57c, 3c0f, b340, b320, bb40, 4415
lji[ 374]:= 4455, 4312, b340, b320, bb40, 4415
lji[ 375]:= c926, c9b7, b340, b320, bb40, 4415
lji[ 376]:= 45ed, 4790, b340, b320, bb40, 4415
lji[ 377]:= bbac, c486, b340, b320, bb40, 4415
lji[ 378]:= 41b4, 41eb, b340, b320, bb40, 4415
lji[ 379]:= 4026, 4167, b340, b320, bb40, 4415
lji[ 380]:= bfc2, c03a, b340, b320, bb40, 4415
lji[ 381]:= 4aa8, 4b0b, b340, b320, bb40, 4415
lji[ 382]:= 4330, 49a9, b340, b320, bb40, 4415
lji[ 383]:= c614, c8aa, b340, b320, bb40, 4415
lji[ 384]:= bb66, c332, b340, b320, bb40, 4415
lji[ 385]:= c2d4, c24c, b340, b320, bb40, 4415
lji[ 386]:= 480f, 47e2, b340, b320, bb40, 4415
lji[ 387]:= 3ed0, 4410, b340, b320, bb40, 4415
lji[ 388]:= 45aa, 46a0, b340, b320, bb40, 4415
lji[ 389]:= c17d, c0aa, b340, b320, bb40, 4415
lji[ 390]:= 41df, b821, b340, b320, bb40, 4415
lji[ 391]:= bf72, c006, b340, b320, bb40, 4415
lji[ 392]:= 4bc2, 49ad, b340, b320, bb40, 4415
lji[ 393]:= caf7, c9d3, b340, b320, bb40, 4415
lji[ 394]:= c940, c8fa, b340, b320, bb40, 4415
lji[ 395]:= c0e3, bd1b, b340, b320, bb40, 4415
lji[ 396]:= c7f5, c18e, b340, b320, bb40, 4415
lji[ 397]:= 4a0f, 49b7, b340, b320, bb40, 4415
lji[ 398]:= 461e, 46ec, b340, b320, bb40, 4415
lji[ 399]:= c6fa, c797, b340, b320, bb40, 4415
lji[ 400]:= bf3c, b270, b340, b320, bb40, 4415
lji[ 401]:= c142, 3849, b340, b320, bb40, 4415
lji[ 402]:= 33f0, bdc5, b340, b320, bb40, 4415
lji[ 403]:= 44da, 4689, b340, b320, bb40, 4415
lji[ 404]:= be72, bdbf, b340, b320, bb40, 4415
lji[ 405]:= c844, c598, b340, b320, bb40, 4415
lji[ 406]:= c826, c7e7, b340, b320, bb40, 4415
lji[ 407]:= 4916, 483a, b340, b320, bb40, 4415
lji[ 408]:= 4683, 46cb, b340, b320, bb40, 4415
lji[ 409]:= c34c, c410, b340, b320, bb40, 4415
lji[ 410]:= bf54, c3d1, b340, b320, bb40, 4415
lji[ 411]:= 4c45, 4d09, b340, b320, bb40, 4415
lji[ 412]:= 46a9, 4957, b340, b320, bb40, 4415
lji[ 413]:= c9e3, ca6c, b340, b320, bb40, 4415
lji[ 414]:= bc90, c1d2, b340, b320, bb40, 4415
lji[ 415]:= bea9, c1fe, b340, b320, bb40, 4415
lji[ 416]:= 3985, 3857, b340, b320, bb40, 4415
lji[ 417]:= 3a30, 44ff, b340, b320, bb40, 4415
lji[ 418]:= c68e, c7d9, b340, b320, bb40, 4415
lji[ 419]:= 4448, 419e, b340, b320, bb40, 4415
lji[ 420]:= c82c, c782, b340, b320, bb40, 4415
lji[ 421]:= c90e, c9f6, b340, b320, bb40, 4415
lji[ 422]:= 40aa, 4352, b340, b320, bb40, 4415
lji[ 423]:= 4730, 4516, b340, b320, bb40, 4415
lji[ 424]:= 4ba2, 4a19, b340, b320, bb40, 4415
lji[ 425]:= c4b5, c232, b340, b320, bb40, 4415
lji[ 426]:= c7c9, c936, b340, b320, bb40, 4415
lji[ 427]:= 3d72, 3b7b, b340, b320, bb40, 4415
lji[ 428]:= c80c, c36e, b340, b320, bb40, 4415
lji[ 429]:= 49b3, 48aa, b340, b320, bb40, 4415
lji[ 430]:= 4a8b, 4b7b, b340, b320, bb40, 4415
lji[ 431]:= 4460, 3d8a, b340, b320, bb40, 4415
lji[ 432]:= 44b8, 4098, b340, b320, bb40, 4415
lji[ 433]:= 478f, 4761, b340, b320, bb40, 4415
lji[ 434]:= c2fe, c732, b340, b320, bb40, 4415
