lij[  96]:= 4738, 47a0, 4738, 416b, c16b, c35b
lij[  97]:= 3852, c7a0, b852, 416b, c16b, c35b
lij[  98]:= bf31, 368f, b8a4, 416b, c16b, c35b
lij[  99]:= b4d9, bc3d, 391f, 416b, c16b, c35b
lij[ 100]:= c40d, c7a0, 440d, 416b, c16b, c35b
lij[ 101]:= c7a0, c7a0, 47a0, 416b, c16b, c35b
lij[ 102]:= bc5d, 3c55, c498, 416b, c16b, c35b
lij[ 103]:= b7fd, b477, 2c60, 416b, c16b, c35b
lij[ 104]:= c2c6, c257, 44b3, 416b, c16b, c35b
lij[ 105]:= b8a4, 3877, c3f7, 416b, c16b, c35b
lij[ 106]:= 4145, c738, c143, 416b, c16b, c35b
lij[ 107]:= 3bd6, c4ac, bbff, 416b, c16b, c35b
lij[ 108]:= 4522, 452d, 4738, 416b, c16b, c35b
lij[ 109]:= c7a0, c0c1, 40c1, 416b, c16b, c35b
lij[ 110]:= 4431, 42ab, 42b6, 416b, c16b, c35b
lij[ 111]:= 3945, b947, c686, 416b, c16b, c35b
lij[ 112]:= 3225, 30d2, 356d, 416b, c16b, c35b
lij[ 113]:= 4406, 4406, 47a0, 416b, c16b, c35b
lij[ 114]:= 4686, c34c, c360, 416b, c16b, c35b
lij[ 115]:= 3d84, 3d65, 44b3, 416b, c16b, c35b
lij[ 116]:= bffc, 3ffe, c738, 416b, c16b, c35b
lij[ 117]:= 2ba1, 465f, 2ba1, 416b, c16b, c35b
lij[ 118]:= 396b, baf4, bfc9, 416b, c16b, c35b
lij[ 119]:= c5c0, 46b5, c58b, 416b, c16b, c35b
lij[ 120]:= 42e2, c686, c2f3, 416b, c16b, c35b
lij[ 121]:= 4545, c539, c738, 416b, c16b, c35b
lij[ 122]:= bc43, 3c65, c443, 416b, c16b, c35b
lij[ 123]:= 4392, 456c, 4342, 416b, c16b, c35b
lij[ 124]:= 3b5a, c3bc, bb07, 416b, c16b, c35b
lij[ 125]:= 421d, 421d, 47a0, 416b, c16b, c35b
lij[ 126]:= ba7e, 3a7e, b8c1, 416b, c16b, c35b
lij[ 127]:= c3d5, c61e, 4402, 416b, c16b, c35b
lij[ 128]:= 45eb, c65f, c686, 416b, c16b, c35b
lij[ 129]:= 403c, 403b, 46ee, 416b, c16b, c35b
lij[ 130]:= 463d, bde9, bde4, 416b, c16b, c35b
lij[ 131]:= c40d, c7a0, 440d, 416b, c16b, c35b
lij[ 132]:= 40ae, 4151, 42b6, 416b, c16b, c35b
lij[ 133]:= 45d4, b700, b708, 416b, c16b, c35b
lij[ 134]:= c6b5, c7a0, 46b5, 416b, c16b, c35b
lij[ 135]:= 2fb2, afb2, c7a0, 416b, c16b, c35b
lij[ 136]:= c415, c7a0, 4415, 416b, c16b, c35b
lij[ 137]:= 45d4, c5d4, c7a0, 416b, c16b, c35b
lij[ 138]:= 4539, c059, c070, 416b, c16b, c35b
lij[ 139]:= 37fd, bfbf, b5f1, 416b, c16b, c35b
lij[ 140]:= 416b, 417a, 4603, 416b, c16b, c35b
lij[ 141]:= c7a0, 4738, c738, 416b, c16b, c35b
lij[ 142]:= c456, c3e9, 4504, 416b, c16b, c35b
