lji[ 101]:= c9ef, c97c, c80c, c8f2, c595, c498
lji[ 102]:= 46fa, 482c, c80c, c8f2, c595, c498
lji[ 103]:= c4dc, c66d, c80c, c8f2, c595, c498
lji[ 104]:= 4582, 44c4, c80c, c8f2, c595, c498
lji[ 105]:= cb20, cc46, c80c, c8f2, c595, c498
lji[ 106]:= c6da, c23c, c80c, c8f2, c595, c498
lji[ 107]:= c13a, 40e2, c80c, c8f2, c595, c498
lji[ 108]:= 483b, 49b1, c80c, c8f2, c595, c498
lji[ 109]:= 4018, 47b2, c80c, c8f2, c595, c498
lji[ 110]:= c4a9, c3d0, c80c, c8f2, c595, c498
lji[ 111]:= bdb5, 3f86, c80c, c8f2, c595, c498
lji[ 112]:= c4a2, c86d, c80c, c8f2, c595, c498
lji[ 113]:= cad5, cc38, c80c, c8f2, c595, c498
lji[ 114]:= bd4e, b478, c80c, c8f2, c595, c498
lji[ 115]:= 447a, b790, c80c, c8f2, c595, c498
lji[ 116]:= c425, c463, c80c, c8f2, c595, c498
lji[ 117]:= 4340, 4734, c80c, c8f2, c595, c498
lji[ 118]:= c872, 3040, c80c, c8f2, c595, c498
lji[ 119]:= bb55, bcc6, c80c, c8f2, c595, c498
lji[ 120]:= 3724, 3a2a, c80c, c8f2, c595, c498
lji[ 121]:= 3ed0, 46d9, c80c, c8f2, c595, c498
lji[ 122]:= 4ab4, 49b0, c80c, c8f2, c595, c498
lji[ 123]:= 4810, 4b2e, c80c, c8f2, c595, c498
lji[ 124]:= 386f, 38d0, c80c, c8f2, c595, c498
lji[ 125]:= cbd8, cc0a, c80c, c8f2, c595, c498
lji[ 126]:= b6f0, 46f1, c80c, c8f2, c595, c498
lji[ 127]:= c508, c9be, c80c, c8f2, c595, c498
lji[ 128]:= 3e97, 4460, c80c, c8f2, c595, c498
lji[ 129]:= 4808, 475d, c80c, c8f2, c595, c498
lji[ 130]:= 477f, 48e5, c80c, c8f2, c595, c498
lji[ 131]:= 4b5d, 4d1f, c80c, c8f2, c595, c498
lji[ 132]:= ad52, 3f9e, c80c, c8f2, c595, c498
lji[ 133]:= 460c, c30d, c80c, c8f2, c595, c498
lji[ 134]:= c79b, c83b, c80c, c8f2, c595, c498
lji[ 135]:= 45cb, 47c8, c80c, c8f2, c595, c498
lji[ 136]:= 4983, 4c0e, c80c, c8f2, c595, c498
lji[ 137]:= 4a72, 49d9, c80c, c8f2, c595, c498
lji[ 138]:= c598, c741, c80c, c8f2, c595, c498
lji[ 139]:= 4858, 4462, c80c, c8f2, c595, c498
lji[ 140]:= c612, c5b8, c80c, c8f2, c595, c498
lji[ 141]:= b9f7, 41e6, c80c, c8f2, c595, c498
lji[ 142]:= 3fd9, 46da, c80c, c8f2, c595, c498
lji[ 143]:= 4c14, 481a, c80c, c8f2, c595, c498
lji[ 144]:= c1e8, c1f4, c80c, c8f2, c595, c498
lji[ 145]:= c910, c898, c80c, c8f2, c595, c498
lji[ 146]:= 48e4, 4966, c80c, c8f2, c595, c498
lji[ 147]:= 4a1a, 46c5, c80c, c8f2, c595, c498
lji[ 148]:= c74e, c554, c80c, c8f2, c595, c498
lji[ 149]:= bc3b, 3cde, c80c, c8f2, c595, c498
lji[ 150]:= 3eca, 3c98, c80c, c8f2, c595, c498
lji[ 151]:= 43e2, 45a4, c80c, c8f2, c595, c498
lji[ 152]:= c55c, c05e, c80c, c8f2, c595, c498
lji[ 153]:= bc83, c6e0, c80c, c8f2, c595, c498
lji[ 154]:= 3938, 4182, c80c, c8f2, c595, c498
lji[ 155]:= 481b, 4995, c80c, c8f2, c595, c498
lji[ 156]:= 4b4d, 4c09, c80c, c8f2, c595, c498
lji[ 157]:= c6b3, c9ec, c80c, c8f2, c595, c498
lji[ 158]:= 44a3, 402e, c80c, c8f2, c595, c498
lji[ 159]:= 47fb, 48b7, c80c, c8f2, c595, c498
lji[ 160]:= 4947, 4839, c80c, c8f2, c595, c498
lji[ 161]:= c4e4, 39e1, c80c, c8f2, c595, c498
lji[ 162]:= 4ba2, 4a84, c80c, c8f2, c595, c498
lji[ 163]:= 4118, b924, c80c, c8f2, c595, c498
lji[ 164]:= 49c8, 4891, c80c, c8f2, c595, c498
lji[ 165]:= 4930, 483f, c80c, c8f2, c595, c498
lji[ 166]:= 47a2, 46cd, c80c, c8f2, c595, c498
lji[ 167]:= 4a5c, 4a67, c80c, c8f2, c595, c498
lji[ 168]:= 4ad6, 4b07, c80c, c8f2, c595, c498
lji[ 169]:= c508, c43b, c80c, c8f2, c595, c498
lji[ 170]:= 4858, 4b12, c80c, c8f2, c595, c498
lji[ 171]:= 4ad6, 4aa2, c80c, c8f2, c595, c498
lji[ 172]:= c2b1, bb18, c80c, c8f2, c595, c498
lji[ 173]:= c6dc, c616, c80c, c8f2, c595, c498
lji[ 174]:= c918, c8c8, c80c, c8f2, c595, c498
lji[ 175]:= bc5c, 3da2, c80c, c8f2, c595, c498
lji[ 176]:= 405c, 2fe0, c80c, c8f2, c595, c498
lji[ 177]:= c3e6, bfd8, c80c, c8f2, c595, c498
lji[ 178]:= c834, 404c, c80c, c8f2, c595, c498
lji[ 179]:= 44e3, 495c, c80c, c8f2, c595, c498
lji[ 180]:= c850, c6ac, c80c, c8f2, c595, c498
lji[ 181]:= 4976, 4800, c80c, c8f2, c595, c498
lji[ 182]:= 4af1, 4962, c80c, c8f2, c595, c498
lji[ 183]:= c95a, ca60, c80c, c8f2, c595, c498
lji[ 184]:= 446e, 47c6, c80c, c8f2, c595, c498
lji[ 185]:= bde6, c518, c80c, c8f2, c595, c498
lji[ 186]:= bd1d, c3cd, c80c, c8f2, c595, c498
lji[ 187]:= 40b0, 46a4, c80c, c8f2, c595, c498
lji[ 188]:= 483a, 45b4, c80c, c8f2, c595, c498
lji[ 189]:= 42f4, 4968, c80c, c8f2, c595, c498
lji[ 190]:= 4826, 463b, c80c, c8f2, c595, c498
lji[ 191]:= 485c, 4801, c80c, c8f2, c595, c498
lji[ 192]:= bbe2, b0b4, c80c, c8f2, c595, c498
lji[ 193]:= c431, bc5e, c80c, c8f2, c595, c498
lji[ 194]:= b4a0, bdde, c80c, c8f2, c595, c498
lji[ 195]:= 444d, 47c0, c80c, c8f2, c595, c498
lji[ 196]:= 4cfc, 4c40, c80c, c8f2, c595, c498
lji[ 197]:= 4722, 442c, c80c, c8f2, c595, c498
lji[ 198]:= c9a9, c98e, c80c, c8f2, c595, c498
lji[ 199]:= c43c, 3d17, c80c, c8f2, c595, c498
lji[ 200]:= 4c0a, 48be, c80c, c8f2, c595, c498
lji[ 201]:= 3c60, bdc5, c80c, c8f2, c595, c498
lji[ 202]:= c98a, ca96, c80c, c8f2, c595, c498
lji[ 203]:= 486e, 483c, c80c, c8f2, c595, c498
lji[ 204]:= 3f3d, 3d10, c80c, c8f2, c595, c498
lji[ 205]:= c971, ca04, c80c, c8f2, c595, c498
lji[ 206]:= 414f, 413b, c80c, c8f2, c595, c498
lji[ 207]:= c115, c248, c80c, c8f2, c595, c498
lji[ 208]:= c22e, 4515, c80c, c8f2, c595, c498
lji[ 209]:= ca5d, cb6d, c80c, c8f2, c595, c498
lji[ 210]:= ccdb, cdbf, c80c, c8f2, c595, c498
lji[ 211]:= 4988, 49ff, c80c, c8f2, c595, c498
lji[ 212]:= 4a18, 49b5, c80c, c8f2, c595, c498
lji[ 213]:= c807, c99d, c80c, c8f2, c595, c498
lji[ 214]:= 47eb, 4702, c80c, c8f2, c595, c498
lji[ 215]:= 3e8a, 435d, c80c, c8f2, c595, c498
lji[ 216]:= 4620, 486a, c80c, c8f2, c595, c498
lji[ 217]:= c8ac, c63c, c80c, c8f2, c595, c498
lji[ 218]:= c978, ca44, c80c, c8f2, c595, c498
lji[ 219]:= 4916, 479b, c80c, c8f2, c595, c498
lji[ 220]:= 49f9, 4bdb, c80c, c8f2, c595, c498
lji[ 221]:= c7d7, c81d, c80c, c8f2, c595, c498
lji[ 222]:= 4c94, 4cd6, c80c, c8f2, c595, c498
lji[ 223]:= cc18, c992, c80c, c8f2, c595, c498
lji[ 224]:= bc9e, 44a7, c80c, c8f2, c595, c498
lji[ 225]:= 44ca, 406d, c80c, c8f2, c595, c498
lji[ 226]:= c7d3, c8a7, c80c, c8f2, c595, c498
lji[ 227]:= b9a8, 44ca, c80c, c8f2, c595, c498
lji[ 228]:= 483f, 386c, c80c, c8f2, c595, c498
lji[ 229]:= 4746, 47c2, c80c, c8f2, c595, c498
lji[ 230]:= c996, ca34, c80c, c8f2, c595, c498
lji[ 231]:= ca80, cbb3, c80c, c8f2, c595, c498
lji[ 232]:= 4536, 4650, c80c, c8f2, c595, c498
lji[ 233]:= 4678, 4584, c80c, c8f2, c595, c498
lji[ 234]:= a070, c3cd, c80c, c8f2, c595, c498
lji[ 235]:= bdc4, 451a, c80c, c8f2, c595, c498
lji[ 236]:= 4be0, 4ad5, c80c, c8f2, c595, c498
lji[ 237]:= 4a22, 49cd, c80c, c8f2, c595, c498
lji[ 238]:= 48de, 4c71, c80c, c8f2, c595, c498
lji[ 239]:= 47d0, 463c, c80c, c8f2, c595, c498
lji[ 240]:= 3c50, 3678, c80c, c8f2, c595, c498
lji[ 241]:= cc89, c9ac, c80c, c8f2, c595, c498
lji[ 242]:= c56f, 41b6, c80c, c8f2, c595, c498
lji[ 243]:= 4882, 42d4, c80c, c8f2, c595, c498
lji[ 244]:= bc84, c5f9, c80c, c8f2, c595, c498
lji[ 245]:= 3f08, 40da, c80c, c8f2, c595, c498
lji[ 246]:= 47a0, 4826, c80c, c8f2, c595, c498
lji[ 247]:= 3c98, 445b, c80c, c8f2, c595, c498
lji[ 248]:= 4132, 4128, c80c, c8f2, c595, c498
lji[ 249]:= cad1, cc5b, c80c, c8f2, c595, c498
lji[ 250]:= 3ef7, b818, c80c, c8f2, c595, c498
lji[ 251]:= bce0, c544, c80c, c8f2, c595, c498
lji[ 252]:= aa08, b8a6, c80c, c8f2, c595, c498
lji[ 253]:= 49b8, 482c, c80c, c8f2, c595, c498
lji[ 254]:= 47db, 48b3, c80c, c8f2, c595, c498
lji[ 255]:= c7e2, c67d, c80c, c8f2, c595, c498
lji[ 256]:= 4774, 4a39, c80c, c8f2, c595, c498
lji[ 257]:= c62c, c65e, c80c, c8f2, c595, c498
lji[ 258]:= c80b, c78b, c80c, c8f2, c595, c498
lji[ 259]:= c916, c8b9, c80c, c8f2, c595, c498
lji[ 260]:= 482b, 42b4, c80c, c8f2, c595, c498
lji[ 261]:= c82e, c880, c80c, c8f2, c595, c498
lji[ 262]:= ca8d, c8aa, c80c, c8f2, c595, c498
lji[ 263]:= a930, 3d52, c80c, c8f2, c595, c498
lji[ 264]:= 456e, 4707, c80c, c8f2, c595, c498
lji[ 265]:= cbd2, cbf2, c80c, c8f2, c595, c498
lji[ 266]:= cb5b, ca00, c80c, c8f2, c595, c498
lji[ 267]:= 480a, 4815, c80c, c8f2, c595, c498
lji[ 268]:= 4a4e, 4972, c80c, c8f2, c595, c498
lji[ 269]:= 3f8b, b908, c80c, c8f2, c595, c498
lji[ 270]:= 4910, 49bb, c80c, c8f2, c595, c498
lji[ 271]:= c760, c618, c80c, c8f2, c595, c498
lji[ 272]:= 4696, 47ad, c80c, c8f2, c595, c498
lji[ 273]:= c684, 4379, c80c, c8f2, c595, c498
lji[ 274]:= c769, bec4, c80c, c8f2, c595, c498
lji[ 275]:= 4b8c, 4933, c80c, c8f2, c595, c498
lji[ 276]:= 4a71, 4c16, c80c, c8f2, c595, c498
lji[ 277]:= 44ac, 460b, c80c, c8f2, c595, c498
lji[ 278]:= 46ac, 46b8, c80c, c8f2, c595, c498
lji[ 279]:= 458e, 3efb, c80c, c8f2, c595, c498
lji[ 280]:= 484b, 48c3, c80c, c8f2, c595, c498
lji[ 281]:= c55c, c358, c80c, c8f2, c595, c498
lji[ 282]:= 4088, b6a8, c80c, c8f2, c595, c498
lji[ 283]:= 4ad3, 495f, c80c, c8f2, c595, c498
lji[ 284]:= 42a4, 41e7, c80c, c8f2, c595, c498
lji[ 285]:= 454d, 3c2c, c80c, c8f2, c595, c498
lji[ 286]:= c422, c216, c80c, c8f2, c595, c498
lji[ 287]:= 4a53, 46a9, c80c, c8f2, c595, c498
lji[ 288]:= 405b, 486e, c80c, c8f2, c595, c498
lji[ 289]:= ca64, c908, c80c, c8f2, c595, c498
lji[ 290]:= caff, c896, c80c, c8f2, c595, c498
lji[ 291]:= 4a1a, 4aaa, c80c, c8f2, c595, c498
lji[ 292]:= 49bf, 4bde, c80c, c8f2, c595, c498
lji[ 293]:= c093, bdc6, c80c, c8f2, c595, c498
lji[ 294]:= 49bd, 4950, c80c, c8f2, c595, c498
lji[ 295]:= c325, c146, c80c, c8f2, c595, c498
lji[ 296]:= 46f7, 4a1c, c80c, c8f2, c595, c498
lji[ 297]:= c8fd, cac6, c80c, c8f2, c595, c498
lji[ 298]:= c496, c476, c80c, c8f2, c595, c498
lji[ 299]:= 4685, 4798, c80c, c8f2, c595, c498
lji[ 300]:= 48e4, 48f0, c80c, c8f2, c595, c498
lji[ 301]:= 462e, 4816, c80c, c8f2, c595, c498
lji[ 302]:= 449b, 418f, c80c, c8f2, c595, c498
lji[ 303]:= c541, c7c6, c80c, c8f2, c595, c498
lji[ 304]:= 4807, 4854, c80c, c8f2, c595, c498
lji[ 305]:= c705, c975, c80c, c8f2, c595, c498
lji[ 306]:= c406, 404c, c80c, c8f2, c595, c498
lji[ 307]:= 4088, 407f, c80c, c8f2, c595, c498
lji[ 308]:= c423, c286, c80c, c8f2, c595, c498
lji[ 309]:= c83c, c821, c80c, c8f2, c595, c498
lji[ 310]:= c564, c707, c80c, c8f2, c595, c498
lji[ 311]:= c7ef, c8f6, c80c, c8f2, c595, c498
lji[ 312]:= 4992, 4a6a, c80c, c8f2, c595, c498
lji[ 313]:= cc74, cb75, c80c, c8f2, c595, c498
lji[ 314]:= c6a9, c187, c80c, c8f2, c595, c498
lji[ 315]:= 4d2b, 4c36, c80c, c8f2, c595, c498
lji[ 316]:= 3540, c081, c80c, c8f2, c595, c498
lji[ 317]:= 4372, c360, c80c, c8f2, c595, c498
lji[ 318]:= 46a6, 4686, c80c, c8f2, c595, c498
lji[ 319]:= cb59, c9f4, c80c, c8f2, c595, c498
lji[ 320]:= 4560, 4a1a, c80c, c8f2, c595, c498
lji[ 321]:= bca0, c004, c80c, c8f2, c595, c498
lji[ 322]:= 414e, bd74, c80c, c8f2, c595, c498
lji[ 323]:= 484f, 4877, c80c, c8f2, c595, c498
lji[ 324]:= 4786, 49a8, c80c, c8f2, c595, c498
lji[ 325]:= cc0e, c2c8, c80c, c8f2, c595, c498
lji[ 326]:= 4889, 47f0, c80c, c8f2, c595, c498
